,unladen-swallow.csv,flylegacy.csv,gotjava.csv,novembre.csv,k3d.csv,qtwin.csv,empserver.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,acdk.csv,galaxium.csv,auber.csv,cortex-vfx.csv,duplicati.csv,linux-ntfs.csv,growl-for-windows.csv,tweetsharp.csv,libarchive.csv
acdk.csv,0.25,0.71,0.0,0.42,0.12,0.01,0.58,0.14,0.9,0.38,0.99,0.47,0.62,0.27,1.0,0.73,0.95,0.74,0.82
auber.csv,0.15,0.69,0.0,0.38,0.19,0.0,0.73,0.09,0.81,0.35,0.24,0.37,1.0,0.33,0.96,0.46,0.67,0.72,0.57
cortex-vfx.csv,0.22,0.67,0.0,0.29,0.11,0.01,0.61,0.19,0.91,0.41,0.54,0.41,0.48,0.96,1.0,0.65,0.79,0.75,0.39
empserver.csv,0.15,0.81,0.0,0.3,0.27,0.0,1.0,0.21,0.81,0.29,0.34,0.39,0.58,0.22,0.97,0.51,0.6,0.72,0.43
flylegacy.csv,0.16,0.98,0.0,0.22,0.23,0.0,0.75,0.19,0.83,0.48,0.4,0.46,0.53,0.29,1.0,0.5,0.71,0.7,0.61
galaxium.csv,0.24,0.87,0.01,0.25,0.13,0.0,0.7,0.2,0.92,0.56,0.59,1.0,0.75,0.24,1.0,0.8,0.67,0.67,0.58
growl-for-windows.csv,0.13,0.79,0.0,0.29,0.17,0.01,0.56,0.23,0.81,0.38,0.37,0.39,0.74,0.38,1.0,0.61,1.0,0.76,0.6
k3d.csv,0.22,0.88,0.0,0.43,1.0,0.01,0.3,0.12,0.8,0.6,0.0,0.55,0.59,0.55,1.0,0.6,0.0,0.67,0.71
libarchive.csv,0.2,0.77,0.0,0.38,0.1,0.01,0.76,0.33,0.93,0.42,0.47,0.4,0.67,0.26,1.0,0.65,0.71,0.75,0.98
linux-ntfs.csv,0.17,0.76,0.01,0.16,0.13,0.01,0.43,0.18,0.74,0.31,0.35,0.32,0.55,0.41,0.95,1.0,0.7,0.75,0.55
m-a-d-n-e-s-s.csv,0.25,0.84,0.0,0.5,0.14,0.01,0.5,0.18,0.82,1.0,0.68,0.22,0.92,0.34,1.0,0.67,0.91,0.8,1.0
novembre.csv,0.26,0.85,0.0,1.0,0.22,0.01,0.47,0.07,0.79,0.31,0.44,0.39,0.71,0.26,1.0,0.8,0.67,0.77,0.55
qtwin.csv,0.38,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
st-filteredstatistics.csv,0.18,0.74,0.0,0.33,0.14,0.0,0.45,0.22,1.0,0.39,0.41,0.4,0.66,0.27,0.98,0.51,0.73,0.71,0.67
tweetsharp.csv,0.11,0.79,0.0,0.32,0.25,0.0,0.52,0.16,0.74,0.32,0.45,0.44,0.52,0.24,1.0,0.51,0.67,0.95,0.47
unladen-swallow.csv,0.73,0.67,0.0,0.35,0.1,0.0,0.38,0.18,0.56,0.21,0.19,0.17,0.35,0.33,1.0,0.58,0.5,0.6,0.28
wishmaster.csv,0.23,0.83,0.0,0.0,0.07,0.01,0.0,1.0,0.5,0.5,0.4,0.18,0.4,0.17,1.0,0.0,1.0,1.0,0.0
