,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv
acegisecurity.csv,0.21,0.31,0.27,0.17,0.15,0.2,0.62,0.8,0.08,0.67,0.18,0.5
gdis.csv,0.75,0.62,0.14,0.21,0.46,0.4,0.2,0.45,0.08,0.51,0.63,0.62
kml.csv,0.29,0.98,0.8,0.25,0.18,0.88,0.93,0.96,0.31,0.97,0.92,1.0
ppcboot.csv,0.92,0.75,0.89,0.3,0.77,0.87,0.79,0.95,0.92,1.0,1.0,0.99
repositorium.csv,0.04,0.08,0.11,0.0,0.28,0.3,0.18,0.44,0.15,0.72,0.41,0.58
rsyslog.csv,0.29,0.73,0.4,0.53,0.23,0.79,0.33,0.15,0.31,0.99,0.31,1.0
simplewebservices.csv,0.79,0.93,0.5,0.98,0.92,0.85,0.56,0.35,0.62,0.69,0.78,0.38
ultimairis.csv,0.5,0.98,0.49,0.62,0.56,0.08,0.13,0.91,0.46,0.34,0.78,0.99
wow-qrsk.csv,0.0,0.28,0.24,0.12,0.0,0.0,0.03,0.04,0.08,0.62,0.0,0.11
wxstudio.csv,0.71,0.31,0.8,0.87,0.41,0.49,0.74,0.16,0.77,0.13,0.24,0.01
xbg.csv,0.17,0.05,0.02,0.47,0.38,0.0,0.17,0.25,0.15,0.59,0.22,0.45
xqilla.csv,0.0,0.3,0.44,0.21,0.18,0.66,0.37,0.35,0.38,0.06,0.12,0.11
