,plearn.csv,awemud.csv,tzod.csv,psrchive.csv,liferea.csv,kwave.csv,firebreath.csv,qcad2.csv,customwars.csv,irplus.csv,wxcode.csv,xinity.csv,xmoto.csv,gss.csv
awemud.csv,0.32,0.53,0.48,0.45,0.52,0.25,0.26,0.32,0.98,0.5,0.51,0.27,0.18,0.6
customwars.csv,0.38,0.27,0.23,0.36,0.18,0.34,0.22,0.26,0.31,0.23,0.26,0.85,0.3,0.5
firebreath.csv,0.66,0.3,0.42,0.41,0.73,0.14,0.34,0.64,0.67,0.59,0.24,0.46,0.27,0.65
gss.csv,0.67,0.63,0.65,0.63,0.64,0.59,0.34,0.37,0.86,0.8,0.55,0.88,0.55,0.2
irplus.csv,0.29,0.33,0.48,0.4,0.23,0.48,0.42,0.18,0.61,0.34,0.18,0.85,0.23,0.0
kwave.csv,0.77,0.73,0.96,0.73,1.0,0.27,0.4,0.79,0.78,0.61,1.0,0.81,0.57,0.95
liferea.csv,0.58,0.3,0.25,0.51,0.3,0.46,0.27,0.51,0.29,0.39,0.26,0.58,0.25,0.5
plearn.csv,0.25,0.37,0.17,0.35,0.18,0.02,0.15,0.69,0.62,0.43,0.51,0.69,0.18,0.6
psrchive.csv,0.36,0.4,0.15,0.15,0.61,0.18,0.38,0.29,0.31,0.16,0.25,0.5,0.18,0.2
qcad2.csv,0.3,0.33,0.15,0.35,0.73,0.18,0.29,0.33,0.53,0.7,0.25,0.69,0.25,0.6
tzod.csv,0.3,0.1,0.29,0.49,0.41,0.25,0.23,0.42,0.09,0.11,0.13,0.58,0.3,0.05
wxcode.csv,0.24,0.17,0.0,0.17,0.23,0.11,0.14,0.15,0.14,0.16,0.18,0.58,0.18,0.05
xinity.csv,0.66,0.6,0.71,0.43,1.0,0.21,0.38,0.54,0.61,0.18,0.87,0.35,0.57,0.95
xmoto.csv,0.3,0.27,0.27,0.36,0.95,0.05,0.7,0.29,0.36,0.27,0.59,0.62,0.27,0.05
