,jajuk.csv,autoopencas.csv,decidr.csv,columba.csv
autoopencas.csv,0.8,0.23,0.76,0.55
columba.csv,0.3,0.44,0.29,0.23
decidr.csv,0.57,0.85,0.22,0.52
jajuk.csv,0.17,0.63,0.95,0.97
