,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,lcfizvtop.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,modplug.csv,pydev.csv,codepurge.csv,passwordsafe.csv,pixel-commandos.csv,elateportal.csv,sandiaportals.csv,factor.csv,uwom.csv
badtrinity-zero.csv,0.64,1.0,0.53,0.23,0.51,0.62,0.44,0.35,0.29,0.64,0.45,0.51,0.59,0.66,0.75,0.38,0.43,0.65,0.64
boost.csv,0.25,0.54,0.55,0.55,0.59,0.45,0.61,0.95,0.61,0.32,0.57,0.57,0.59,0.57,0.72,0.49,0.49,0.68,0.55
codepurge.csv,0.27,0.39,0.06,0.5,0.06,0.11,0.01,0.06,0.29,0.22,0.35,0.29,0.93,0.23,0.0,0.22,0.13,0.06,0.29
elateportal.csv,0.43,0.58,0.36,0.59,0.12,0.7,0.42,0.52,0.5,0.29,0.67,0.43,0.58,0.43,0.46,1.0,0.62,0.06,0.54
etics.csv,0.87,0.28,0.44,0.6,0.39,0.4,0.25,0.53,0.23,0.26,0.47,0.44,0.38,0.37,0.29,0.02,0.0,0.23,0.35
factor.csv,0.18,0.07,0.01,0.09,0.0,0.11,0.01,0.02,0.01,0.1,0.05,0.26,0.05,0.0,0.0,0.02,0.0,0.99,0.04
gusanos.csv,0.74,0.59,0.57,0.75,0.65,0.63,0.6,0.54,0.98,0.54,0.52,0.59,0.68,0.62,0.64,0.43,0.37,0.63,0.67
kvs.csv,0.55,0.34,0.12,0.47,0.92,0.0,0.45,0.33,0.34,0.6,0.57,0.4,0.2,0.22,0.78,0.06,0.07,0.33,0.45
lcfizvtop.csv,0.52,0.24,0.2,0.35,0.34,0.93,0.41,0.51,0.43,0.17,0.24,0.49,0.34,0.34,0.0,0.26,0.18,0.87,0.26
mcore3d.csv,0.58,0.59,0.99,0.63,0.59,0.46,0.71,0.54,0.64,0.49,0.48,0.55,0.6,0.61,0.88,0.2,0.49,0.47,0.52
modellus.csv,0.36,0.26,0.46,0.57,0.34,0.21,0.98,0.26,0.51,0.35,0.41,0.6,0.52,0.29,0.29,0.11,0.45,0.24,0.33
modplug.csv,0.09,0.56,0.63,0.71,0.58,0.76,0.58,0.61,0.61,0.55,0.98,0.64,0.61,0.69,0.78,0.69,0.63,0.64,0.69
passwordsafe.csv,0.53,0.51,0.55,0.65,0.52,0.57,0.74,0.44,0.39,0.66,0.59,0.61,0.55,0.98,0.51,0.09,0.5,0.75,0.67
pixel-commandos.csv,0.1,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.05,0.26,0.11,0.0,0.0,0.02,0.79,0.02,0.0,0.02,0.05
projecteqemu.csv,0.58,0.38,0.23,0.49,0.12,0.32,0.28,0.3,0.18,1.0,0.38,0.26,0.29,0.44,0.29,0.0,0.11,0.18,0.39
pydev.csv,0.43,0.51,0.24,0.53,0.53,0.4,0.48,0.23,0.35,0.62,0.45,1.0,0.25,0.44,0.76,0.09,0.07,0.09,0.55
sandiaportals.csv,0.73,0.5,0.67,0.74,0.61,0.59,0.69,0.48,0.73,0.54,0.56,0.59,0.61,0.65,0.72,0.74,1.0,0.53,0.66
uwom.csv,0.63,0.42,0.42,0.22,0.48,0.31,0.52,0.26,0.23,0.66,0.49,0.5,0.1,0.6,0.92,0.59,0.37,0.56,0.98
xbplayer.csv,0.27,0.28,0.19,0.94,0.29,0.11,0.33,0.35,0.33,0.37,0.41,0.52,0.2,0.4,0.54,0.09,0.54,0.24,0.42
