,recall,precision,pf,wins
badtrinity-zero.csv,0.61,0.44,0.44,5
boost.csv,0.7,0.44,0.62,1
codepurge.csv,0.19,0.6,0.08,14
elateportal.csv,0.51,0.39,0.52,0
etics.csv,0.33,0.5,0.2,11
factor.csv,0.03,0.62,0.0,16
gusanos.csv,0.71,0.47,0.5,7
kvs.csv,0.36,0.5,0.19,12
lcfizvtop.csv,0.3,0.42,0.23,6
mcore3d.csv,0.61,0.44,0.51,2
modellus.csv,0.31,0.5,0.22,10
modplug.csv,0.83,0.48,0.61,3
passwordsafe.csv,0.58,0.51,0.42,8
pixel-commandos.csv,0.02,0.7,0.0,17
projecteqemu.csv,0.25,0.6,0.09,15
pydev.csv,0.4,0.5,0.19,13
sandiaportals.csv,0.76,0.45,0.53,4
uwom.csv,0.47,0.47,0.29,9
xbplayer.csv,0.28,0.71,0.12,18
