,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,lcfizvtop.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,modplug.csv,pydev.csv,codepurge.csv,passwordsafe.csv,pixel-commandos.csv,elateportal.csv,sandiaportals.csv,factor.csv,uwom.csv
badtrinity-zero.csv,0.72,0.01,0.63,0.82,0.75,0.57,0.79,0.73,0.75,0.62,0.85,0.8,0.63,0.51,0.63,0.74,0.88,0.54,0.54
boost.csv,0.98,0.71,0.71,0.72,0.71,0.78,0.71,0.06,0.66,0.92,0.62,0.66,0.64,0.72,0.45,0.84,0.84,0.66,0.78
codepurge.csv,0.78,0.68,0.95,0.57,0.95,0.91,0.99,0.95,0.75,0.82,0.75,0.76,0.08,0.81,1.0,0.82,0.89,0.95,0.79
elateportal.csv,0.86,0.58,0.73,0.76,0.9,0.48,0.69,0.71,0.71,0.81,0.6,0.79,0.75,0.65,0.83,0.0,0.73,0.98,0.78
etics.csv,0.16,0.78,0.67,0.68,0.71,0.69,0.8,0.59,0.81,0.78,0.83,0.62,0.69,0.7,0.78,0.99,1.0,0.85,0.72
factor.csv,0.85,0.94,0.99,0.93,1.0,0.91,0.99,0.98,0.99,0.92,0.96,0.78,0.96,1.0,1.0,0.98,1.0,0.04,0.97
gusanos.csv,0.43,0.63,0.6,0.53,0.62,0.55,0.6,0.79,0.03,0.68,0.8,0.71,0.64,0.52,0.64,0.7,0.69,0.59,0.58
kvs.csv,0.63,0.75,0.91,0.62,0.1,1.01,0.63,0.74,0.97,0.52,0.5,0.67,0.84,0.83,0.27,0.97,0.96,0.73,0.67
lcfizvtop.csv,0.79,0.81,0.85,0.77,0.76,0.09,0.67,0.74,0.65,0.88,0.82,0.65,0.71,0.74,1.0,0.92,0.93,0.39,0.79
mcore3d.csv,0.51,0.65,0.02,0.6,0.59,0.73,0.55,0.73,0.52,0.68,0.74,0.73,0.69,0.59,0.41,1.06,0.71,0.8,0.76
modellus.csv,0.69,0.81,0.63,0.55,0.73,0.84,0.02,0.8,0.59,0.74,0.64,0.52,0.63,0.77,0.79,0.92,0.67,0.82,0.77
modplug.csv,0.98,0.75,0.71,0.6,0.75,0.44,0.76,0.65,0.72,0.79,0.02,0.68,0.64,0.51,0.58,0.55,0.73,0.55,0.63
passwordsafe.csv,0.8,0.61,0.69,0.69,0.62,0.58,0.48,0.75,0.91,0.64,0.48,0.61,0.62,0.02,0.68,0.93,0.56,0.32,0.51
pixel-commandos.csv,0.92,0.95,0.99,1.0,1.0,1.0,1.0,1.0,0.96,0.79,0.91,1.0,1.0,0.98,0.25,0.98,1.0,0.98,0.96
projecteqemu.csv,0.48,0.69,0.82,0.62,0.9,0.73,0.76,0.75,0.85,0.0,0.68,0.8,0.76,0.63,0.75,1.0,0.91,0.86,0.67
pydev.csv,0.63,0.61,0.82,0.58,0.69,0.67,0.59,0.82,0.71,0.69,0.61,0.0,0.79,0.64,0.33,0.95,0.95,0.95,0.52
sandiaportals.csv,0.47,0.67,0.61,0.55,0.51,0.67,0.65,0.85,0.45,0.69,0.65,0.73,0.74,0.53,0.66,0.52,0.0,0.63,0.66
uwom.csv,0.71,0.65,0.75,0.84,0.66,0.77,0.79,0.8,0.81,0.54,0.62,0.6,0.92,0.67,0.31,0.48,0.9,0.67,0.03
xbplayer.csv,0.77,0.77,0.85,0.07,0.76,0.92,0.73,0.73,0.72,0.69,0.65,0.55,0.84,0.65,0.53,0.95,0.52,0.81,0.66
