,baadengine.csv,empyrean.csv,atomsite.csv,pamguard.csv,jaxlib.csv,chaperon.csv,owlapi.csv,joustsim.csv,loki-lib.csv,poormans.csv,chaosrts.csv,hydrate.csv
atomsite.csv,0.62,0.42,0.42,0.8,0.75,0.46,0.71,0.49,0.69,0.53,0.51,0.5
baadengine.csv,0.5,0.43,0.35,0.3,0.29,0.42,0.46,0.35,0.44,0.38,0.37,0.37
chaosrts.csv,0.92,0.73,0.62,0.47,0.42,0.43,0.5,0.4,0.63,0.74,0.49,0.34
chaperon.csv,0.63,0.79,0.44,0.39,0.41,0.89,0.53,0.83,0.61,0.51,0.96,0.68
empyrean.csv,0.0,0.52,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0
hydrate.csv,0.63,0.93,0.36,0.32,0.29,0.62,0.51,0.44,0.8,0.39,0.49,0.41
jaxlib.csv,0.59,0.57,0.67,0.94,0.8,0.54,0.96,0.58,0.65,0.96,0.45,0.8
joustsim.csv,0.54,0.48,0.38,0.47,0.54,0.53,0.48,0.61,0.45,0.5,0.86,0.47
loki-lib.csv,0.84,0.43,0.48,0.73,0.46,0.5,0.48,0.51,0.47,0.56,0.5,0.45
owlapi.csv,0.43,0.74,0.88,0.79,0.6,0.65,0.61,0.69,0.94,0.49,0.56,0.67
pamguard.csv,0.49,0.47,0.43,0.48,0.37,0.49,0.55,0.53,0.54,0.52,0.4,0.42
poormans.csv,0.65,0.5,0.5,0.31,0.28,0.67,0.4,0.42,0.0,0.47,0.38,0.32
