,baadengine.csv,empyrean.csv,atomsite.csv,pamguard.csv,jaxlib.csv,chaperon.csv,owlapi.csv,joustsim.csv,loki-lib.csv,poormans.csv,chaosrts.csv,hydrate.csv
atomsite.csv,0.31,0.54,0.67,0.23,0.54,0.54,0.4,0.21,0.39,0.45,0.45,0.52
baadengine.csv,0.75,0.13,0.41,0.46,0.17,0.28,0.56,0.87,0.0,0.84,0.67,0.21
chaosrts.csv,0.43,0.41,0.46,0.47,0.5,0.52,0.4,0.4,0.57,0.45,0.78,0.56
chaperon.csv,0.48,0.32,0.5,0.61,0.0,0.98,0.53,0.21,0.47,0.56,0.18,0.43
empyrean.csv,0.0,0.72,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0
hydrate.csv,0.29,0.19,0.68,0.32,0.36,0.54,0.53,0.59,0.09,0.79,0.32,0.68
jaxlib.csv,0.33,0.36,0.0,0.18,0.99,0.43,0.24,0.46,0.42,0.25,0.69,0.25
joustsim.csv,0.34,0.57,0.17,0.53,0.85,0.53,0.55,0.9,0.09,0.63,0.21,0.51
loki-lib.csv,0.4,0.63,0.48,0.33,0.5,0.29,0.42,0.3,0.67,0.49,0.74,0.6
owlapi.csv,0.56,0.45,0.0,0.35,0.0,0.0,0.79,0.5,0.12,0.65,0.35,0.4
pamguard.csv,0.64,0.67,0.56,0.66,0.0,0.54,0.48,0.19,0.55,0.32,0.38,0.64
poormans.csv,0.32,0.04,0.45,0.53,0.3,0.0,0.54,0.4,0.0,0.75,0.48,0.67
