,lsb.csv,mcore3d.csv,yield.csv,maya-work-in-progress.csv,mscore.csv,hydrogen.csv,xemeiah.csv,virtuoso.csv,enzo.csv,xined.csv,lphant.csv,salasaga.csv,keyczar.csv,xtreemfs.csv,autowikibrowser.csv,rocrail.csv,natpad.csv
autowikibrowser.csv,0.68,0.4,0.57,0.53,0.64,0.49,0.59,0.42,0.68,0.26,0.67,0.3,0.54,0.59,0.99,0.58,0.59
enzo.csv,0.27,0.63,0.64,0.59,0.7,0.33,0.58,0.39,0.98,0.27,0.54,0.23,0.79,0.72,0.51,0.48,0.56
hydrogen.csv,0.16,0.17,0.29,0.25,0.41,0.97,0.4,0.43,0.35,0.25,0.24,0.21,0.15,0.32,0.35,0.49,0.52
keyczar.csv,0.28,0.64,0.6,0.63,0.68,0.29,0.48,0.22,0.84,0.22,0.54,0.31,0.98,0.88,0.6,0.35,0.55
lphant.csv,0.33,0.57,0.68,0.54,0.63,0.28,0.64,0.44,0.56,0.43,0.95,0.29,0.46,0.63,0.65,0.47,0.6
lsb.csv,0.82,0.55,0.53,0.63,0.63,0.29,0.56,0.43,0.69,0.46,0.53,0.4,0.46,0.65,0.68,0.54,0.6
maya-work-in-progress.csv,0.17,0.64,0.67,0.97,0.73,0.35,0.65,0.24,0.79,0.35,0.59,0.42,0.64,0.92,0.6,0.44,0.61
mcore3d.csv,0.43,0.99,0.64,0.51,0.49,0.43,0.51,0.34,0.59,0.25,0.57,0.36,0.66,0.68,0.61,0.31,0.6
mscore.csv,0.21,0.67,0.62,0.49,0.98,0.41,0.62,0.42,0.61,0.4,0.53,0.33,0.48,0.75,0.61,0.44,0.67
natpad.csv,0.38,0.53,0.53,0.58,0.62,0.31,0.6,0.36,0.64,0.31,0.18,0.33,0.39,0.86,0.37,0.35,0.99
rocrail.csv,0.04,0.25,0.37,0.11,0.39,0.41,0.38,0.44,0.23,0.32,0.4,0.26,0.15,0.22,0.39,1.0,0.49
salasaga.csv,0.38,0.55,0.41,0.56,0.63,0.13,0.52,0.34,0.73,0.26,0.25,0.96,0.79,0.7,0.42,0.27,0.41
virtuoso.csv,0.4,0.78,0.63,0.58,0.74,0.3,0.64,0.91,0.89,0.48,0.57,0.31,0.39,0.91,0.58,0.36,0.6
xemeiah.csv,0.46,0.48,0.6,0.22,0.48,0.4,0.96,0.44,0.49,0.32,0.47,0.4,0.25,0.41,0.59,0.5,0.65
xined.csv,0.24,0.17,0.24,0.26,0.32,0.25,0.31,0.22,0.14,1.0,0.15,0.22,0.12,0.5,0.15,0.37,0.45
xtreemfs.csv,0.09,0.57,0.66,0.59,0.6,0.45,0.65,0.37,0.42,0.31,0.54,0.22,0.62,1.0,0.57,0.5,0.6
yield.csv,0.22,0.76,0.98,0.58,0.72,0.27,0.68,0.46,0.75,0.31,0.61,0.31,0.82,0.87,0.69,0.39,0.59
