,rezilla.csv,webdriver.csv,minig.csv,ossbuild.csv,jparsec.csv,kmess.csv
jparsec.csv,0.77,0.76,0.55,1.01,0.05,0.83
kmess.csv,0.77,0.61,0.65,0.8,0.68,0.02
minig.csv,0.85,0.72,0.03,0.82,0.71,0.76
ossbuild.csv,0.83,0.45,0.69,0.13,0.8,0.67
rezilla.csv,0.0,0.81,0.81,0.9,0.93,0.86
webdriver.csv,0.95,0.0,0.68,0.44,0.68,0.58
