,f1
jchassis.csv,0.0
doomlegacy.csv,0.46
bzbyte.csv,0.46
fmri-dmt.csv,0.25
v8.csv,0.61
servicestack.csv,0.0
carabiner.csv,0.31
gephex.csv,0.15
mediaportal.csv,0.41
gnome-jabber.csv,0.12
fityk.csv,0.39
mecat.csv,0.18
ngl.csv,0.54
codepurge.csv,0.13
jcl.csv,0.3
bigdata.csv,0.44
salasaga.csv,0.35
ondex.csv,0.32
jas.csv,0.08
qdvdauthor.csv,0.47
gmerlin.csv,0.26
wsmt.csv,0.11
xqilla.csv,0.06
jstock.csv,0.55
poormans.csv,0.47
kolmafia.csv,0.53
synergyspace.csv,0.27
nebuladevice.csv,0.33
findbugs.csv,0.46
qmmp.csv,0.12
wxstudio.csv,0.31
free-evolution.csv,0.21
xapian.csv,0.56
quark.csv,0.43
les-indemodables.csv,0.41
mesa3d.csv,0.31
simplewebservices.csv,0.58
illumination.csv,0.28
wxjs.csv,0.08
ambulant.csv,0.47
kmess.csv,0.56
fleet-simulator.csv,0.0
tradelink.csv,0.51
opendvr.csv,0.31
pi-qmc.csv,0.23
google-gears.csv,0.43
bibletime.csv,0.57
ipfilter.csv,0.44
glelite.csv,0.38
hibernate.csv,0.27
keyczar.csv,0.0
oscarmcmaster.csv,0.35
passwordsafe.csv,0.55
primefaces.csv,0.0
xtreemfs.csv,0.17
pixel-commandos.csv,0.31
open-ms.csv,0.38
pnotepad.csv,0.54
qedo.csv,0.03
tigermud.csv,0.22
mevenide.csv,0.32
xcf.csv,0.29
ninject.csv,0.14
xinity.csv,0.43
xmoto.csv,0.64
coot.csv,0.53
emite.csv,0.06
gss.csv,0.39
icescrum.csv,0.48
