,recall
jchassis.csv,0.0
doomlegacy.csv,0.3
bzbyte.csv,0.32
fmri-dmt.csv,0.33
v8.csv,0.44
servicestack.csv,0.0
carabiner.csv,0.23
gephex.csv,0.08
mediaportal.csv,0.42
gnome-jabber.csv,0.07
fityk.csv,0.25
mecat.csv,1.0
ngl.csv,0.46
codepurge.csv,0.08
jcl.csv,0.64
bigdata.csv,0.29
salasaga.csv,0.71
ondex.csv,0.48
jas.csv,0.38
qdvdauthor.csv,0.32
gmerlin.csv,0.22
wsmt.csv,0.06
xqilla.csv,0.67
jstock.csv,0.46
poormans.csv,0.35
kolmafia.csv,0.38
synergyspace.csv,0.19
nebuladevice.csv,0.27
findbugs.csv,0.39
qmmp.csv,0.06
wxstudio.csv,0.22
free-evolution.csv,0.15
xapian.csv,0.42
quark.csv,0.77
les-indemodables.csv,0.27
mesa3d.csv,0.58
simplewebservices.csv,0.8
illumination.csv,0.24
wxjs.csv,0.12
ambulant.csv,0.34
kmess.csv,0.42
fleet-simulator.csv,0.0
tradelink.csv,0.47
opendvr.csv,0.23
pi-qmc.csv,0.14
google-gears.csv,0.28
bibletime.csv,0.41
ipfilter.csv,0.28
glelite.csv,0.23
hibernate.csv,0.17
keyczar.csv,0.0
oscarmcmaster.csv,0.3
passwordsafe.csv,0.49
primefaces.csv,0.0
xtreemfs.csv,0.1
pixel-commandos.csv,0.5
open-ms.csv,0.4
pnotepad.csv,0.38
qedo.csv,0.05
tigermud.csv,0.14
mevenide.csv,0.41
xcf.csv,0.19
ninject.csv,0.4
xinity.csv,0.32
xmoto.csv,0.53
coot.csv,0.42
emite.csv,0.03
gss.csv,0.27
icescrum.csv,0.42
