,g-score
jchassis.csv,0.0
doomlegacy.csv,0.35
bzbyte.csv,0.36
fmri-dmt.csv,0.38
v8.csv,0.49
servicestack.csv,0.0
carabiner.csv,0.27
gephex.csv,0.1
mediaportal.csv,0.47
gnome-jabber.csv,0.09
fityk.csv,0.29
mecat.csv,0.85
ngl.csv,0.5
codepurge.csv,0.1
jcl.csv,0.64
bigdata.csv,0.33
salasaga.csv,0.68
ondex.csv,0.51
jas.csv,0.4
qdvdauthor.csv,0.37
gmerlin.csv,0.26
wsmt.csv,0.07
xqilla.csv,0.6
jstock.csv,0.51
poormans.csv,0.4
kolmafia.csv,0.43
synergyspace.csv,0.23
nebuladevice.csv,0.31
findbugs.csv,0.43
qmmp.csv,0.07
wxstudio.csv,0.26
free-evolution.csv,0.18
xapian.csv,0.47
quark.csv,0.72
les-indemodables.csv,0.32
mesa3d.csv,0.54
simplewebservices.csv,0.61
illumination.csv,0.28
wxjs.csv,0.14
ambulant.csv,0.39
kmess.csv,0.47
fleet-simulator.csv,0.0
tradelink.csv,0.52
opendvr.csv,0.27
pi-qmc.csv,0.17
google-gears.csv,0.33
bibletime.csv,0.46
ipfilter.csv,0.33
glelite.csv,0.27
hibernate.csv,0.2
keyczar.csv,0.0
oscarmcmaster.csv,0.35
passwordsafe.csv,0.53
primefaces.csv,0.0
xtreemfs.csv,0.12
pixel-commandos.csv,0.55
open-ms.csv,0.45
pnotepad.csv,0.43
qedo.csv,0.06
tigermud.csv,0.17
mevenide.csv,0.44
xcf.csv,0.23
ninject.csv,0.43
xinity.csv,0.36
xmoto.csv,0.58
coot.csv,0.46
emite.csv,0.04
gss.csv,0.31
icescrum.csv,0.46
