,d2h
jchassis.csv,1.05
doomlegacy.csv,0.7
bzbyte.csv,0.72
fmri-dmt.csv,0.68
v8.csv,0.58
servicestack.csv,1.0
carabiner.csv,0.78
gephex.csv,0.92
mediaportal.csv,0.6
gnome-jabber.csv,0.93
fityk.csv,0.76
mecat.csv,0.47
ngl.csv,0.61
codepurge.csv,0.92
jcl.csv,0.52
bigdata.csv,0.75
salasaga.csv,0.5
ondex.csv,0.6
jas.csv,0.82
qdvdauthor.csv,0.68
gmerlin.csv,0.81
wsmt.csv,0.94
xqilla.csv,0.66
jstock.csv,0.54
poormans.csv,0.65
kolmafia.csv,0.62
synergyspace.csv,0.81
nebuladevice.csv,0.74
findbugs.csv,0.64
qmmp.csv,0.94
wxstudio.csv,0.8
free-evolution.csv,0.85
xapian.csv,0.58
quark.csv,0.5
les-indemodables.csv,0.73
mesa3d.csv,0.71
simplewebservices.csv,0.72
illumination.csv,0.77
wxjs.csv,0.89
ambulant.csv,0.66
kmess.csv,0.6
fleet-simulator.csv,1.0
tradelink.csv,0.53
opendvr.csv,0.78
pi-qmc.csv,0.86
google-gears.csv,0.72
bibletime.csv,0.6
ipfilter.csv,0.72
glelite.csv,0.77
hibernate.csv,0.83
keyczar.csv,1.0
oscarmcmaster.csv,0.71
passwordsafe.csv,0.54
primefaces.csv,1.0
xtreemfs.csv,0.91
pixel-commandos.csv,0.51
open-ms.csv,0.62
pnotepad.csv,0.63
qedo.csv,0.97
tigermud.csv,0.89
mevenide.csv,0.71
xcf.csv,0.82
ninject.csv,0.71
xinity.csv,0.72
xmoto.csv,0.48
coot.csv,0.61
emite.csv,0.97
gss.csv,0.75
icescrum.csv,0.61
