,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,qedo.csv,jruby.csv
abbot.csv,0.7,0.39,0.0,0.11,0.09,0.53,0.57,0.82,0.31,0.21,0.93
haphazard.csv,0.66,0.18,0.49,0.09,0.09,0.28,0.1,0.61,0.36,0.28,0.76
jicarilla.csv,0.12,0.0,0.83,0.0,0.0,0.0,0.1,0.52,0.0,0.0,0.05
jruby.csv,0.68,0.12,0.14,0.05,0.04,0.4,0.05,0.83,0.18,0.05,0.75
optalgtoolkit.csv,0.7,0.38,0.52,0.07,0.1,0.61,0.56,0.81,0.24,0.21,0.52
ossim.csv,0.28,0.26,0.33,0.24,0.0,0.39,0.48,0.72,0.19,0.04,0.3
projectts.csv,0.68,0.39,0.09,0.11,0.11,0.39,0.69,0.04,0.37,0.07,0.89
qedo.csv,0.22,0.1,0.33,0.04,0.0,0.53,0.42,0.55,0.3,0.36,0.06
sabbu.csv,0.75,0.42,0.14,0.16,0.14,0.18,0.36,0.2,0.33,0.09,0.58
vxl.csv,0.53,0.35,0.0,0.15,0.1,0.29,0.19,0.09,0.31,0.1,0.66
zact.csv,0.45,0.12,0.51,0.12,0.24,0.0,0.49,0.22,0.17,0.1,0.36
