,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,qedo.csv,jruby.csv
abbot.csv,8.0,0.0,69.0,26.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0
haphazard.csv,5.0,7.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
jicarilla.csv,0.0,150.0,2.0,281.0,125.0,49.0,0.0,0.0,64.0,260.0,0.0
jruby.csv,5.0,0.0,1.0,17.0,19.0,0.0,0.0,1.0,9.0,1.0,0.0
optalgtoolkit.csv,1.0,7.0,5.0,58.0,5.0,0.0,1.0,1.0,1.0,46.0,1.0
ossim.csv,1.0,0.0,1.0,9.0,125.0,0.0,2.0,0.0,7.0,0.0,0.0
projectts.csv,2.0,0.0,5.0,16.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0
qedo.csv,3.0,1.0,2.0,60.0,125.0,1.0,1.0,1.0,3.0,0.0,1.0
sabbu.csv,0.0,0.0,2.0,31.0,14.0,0.0,1.0,1.0,0.0,0.0,0.0
vxl.csv,3.0,3.0,69.0,30.0,18.0,4.0,0.0,0.0,0.0,1.0,0.0
zact.csv,4.0,6.0,1.0,44.0,4.0,49.0,6.0,1.0,0.0,6.0,0.0
