,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,qedo.csv,jruby.csv
abbot.csv,0.56,0.26,0.0,0.06,0.05,0.37,0.55,0.82,0.19,0.12,0.87
haphazard.csv,0.52,0.25,0.47,0.05,0.05,0.29,1.0,0.69,0.3,0.23,0.88
jicarilla.csv,0.5,0.0,0.77,0.0,0.0,0.0,0.67,0.72,0.0,0.0,1.0
jruby.csv,0.52,0.21,0.27,0.03,0.02,0.31,1.0,0.72,0.13,0.03,0.89
optalgtoolkit.csv,0.6,0.29,0.42,0.04,0.05,0.52,0.52,0.72,0.17,0.12,0.84
ossim.csv,0.41,0.28,0.43,0.14,0.0,0.41,0.53,0.68,0.14,0.02,0.85
projectts.csv,0.65,0.26,0.18,0.06,0.06,0.31,0.68,0.5,0.25,0.05,0.86
qedo.csv,0.27,0.4,0.5,0.02,0.0,0.43,0.6,0.66,0.43,0.23,0.8
sabbu.csv,0.8,0.32,0.3,0.09,0.07,0.67,0.56,0.71,0.23,0.05,0.86
vxl.csv,0.79,0.31,0.0,0.09,0.05,0.26,0.67,0.67,0.21,0.06,0.86
zact.csv,0.44,0.23,0.72,0.07,0.14,0.0,0.53,0.55,0.18,0.07,0.9
