,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,qedo.csv,jruby.csv
abbot.csv,0.91,0.78,0.0,0.88,0.86,0.95,0.59,0.82,0.85,0.95,0.99
haphazard.csv,0.9,0.14,0.52,0.38,0.29,0.26,0.05,0.55,0.46,0.36,0.67
jicarilla.csv,0.07,0.0,0.91,0.0,0.0,0.0,0.05,0.41,0.0,0.0,0.02
jruby.csv,1.0,0.08,0.09,0.12,0.14,0.58,0.03,0.98,0.31,0.14,0.64
optalgtoolkit.csv,0.83,0.54,0.67,0.38,0.43,0.74,0.59,0.93,0.46,0.73,0.38
ossim.csv,0.21,0.24,0.27,0.75,0.0,0.37,0.43,0.77,0.31,0.09,0.18
projectts.csv,0.72,0.73,0.06,0.5,0.86,0.53,0.7,0.02,0.69,0.18,0.92
qedo.csv,0.19,0.05,0.24,0.12,0.0,0.68,0.32,0.48,0.23,0.82,0.03
sabbu.csv,0.71,0.59,0.09,0.56,0.86,0.11,0.27,0.11,0.62,0.41,0.44
vxl.csv,0.4,0.41,0.0,0.44,0.71,0.32,0.11,0.05,0.62,0.32,0.53
zact.csv,0.47,0.08,0.39,0.38,0.86,0.0,0.46,0.14,0.15,0.18,0.22
