,qgo.csv,firebird.csv,applet2app.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,webdriver.csv,mscore.csv,yafdotnet.csv,nabu-library.csv,jparsec.csv,xined.csv,ns-3-dev-def-routing.csv,open-ms.csv,biodwh.csv,jcache.csv
applet2app.csv,0.61,0.46,0.56,0.74,0.29,0.64,0.64,0.54,0.54,0.34,0.59,0.38,0.59,0.38,0.39,0.65
biodwh.csv,0.39,0.24,0.45,0.4,0.36,0.06,0.41,0.39,0.31,0.11,0.58,0.29,0.41,0.32,0.61,0.68
blue-c.csv,0.64,0.6,0.52,0.71,0.28,0.85,0.63,0.66,0.58,0.38,0.57,0.36,0.6,0.32,0.24,0.57
cities3d.csv,0.57,0.36,0.47,0.06,0.31,0.56,0.57,0.5,0.31,0.12,0.48,0.0,0.45,0.37,0.31,0.76
firebird.csv,0.67,0.62,0.56,0.7,0.2,0.62,0.54,0.59,0.62,0.62,0.56,0.36,0.59,0.37,0.26,0.62
jcache.csv,0.69,0.66,0.48,0.66,0.16,0.69,0.52,0.68,0.62,0.64,0.21,0.4,0.57,0.35,0.32,0.88
jparsec.csv,0.43,0.61,0.46,0.65,0.16,0.5,0.51,0.61,0.6,0.56,0.66,0.33,0.51,0.32,0.24,0.74
mscore.csv,0.53,0.64,0.54,0.7,0.38,0.8,0.62,0.74,0.55,0.59,0.57,0.37,0.53,0.35,0.24,0.66
nabu-library.csv,0.0,0.62,0.31,0.23,0.05,0.48,0.32,0.41,0.49,0.83,0.34,0.18,0.53,0.14,0.0,0.33
ns-3-dev-def-routing.csv,0.34,0.57,0.35,0.76,0.12,0.71,0.46,0.53,0.51,0.51,0.53,0.35,0.59,0.24,0.14,0.52
open-ms.csv,0.65,0.62,0.42,0.38,0.18,0.53,0.45,0.6,0.39,0.17,0.28,0.39,0.44,0.35,0.25,0.64
popeye-chess.csv,0.54,0.5,0.49,0.67,0.28,0.64,0.67,0.6,0.29,0.28,0.4,0.3,0.52,0.37,0.15,0.45
qgo.csv,0.85,0.67,0.58,0.63,0.17,0.55,0.6,0.75,0.63,0.68,0.58,0.32,0.54,0.36,0.28,0.79
webdriver.csv,0.68,0.65,0.5,0.71,0.23,0.79,0.73,0.64,0.52,0.39,0.49,0.4,0.54,0.39,0.17,0.66
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,0.0,0.0,0.0,0.79
yafdotnet.csv,0.66,0.63,0.51,0.68,0.17,0.72,0.54,0.68,0.72,0.72,0.51,0.32,0.5,0.37,0.3,0.69
