,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,0.8,0.73,0.59,0.59,0.55,0.4,0.43,0.2,0.32,0.27,0.15
badtrinitycore.csv,0.0,0.0,0.43,0.8,0.05,0.0,0.05,0.28,0.12,0.11,0.26
boost.csv,0.3,0.72,0.62,0.59,0.66,0.06,0.35,0.64,0.7,0.44,0.55
electric-core.csv,0.57,0.68,0.64,0.62,0.67,0.44,0.6,0.62,0.6,0.44,0.61
java-gnome.csv,0.39,0.3,0.3,0.44,0.39,0.81,0.37,0.46,0.21,0.45,0.47
miranda-icq.csv,0.71,0.0,0.64,0.43,0.48,0.05,0.6,0.45,0.4,0.58,0.32
ofbiz.csv,0.59,0.2,0.47,0.57,0.54,0.28,0.48,0.58,0.61,0.71,0.57
olsrd.csv,0.71,0.77,0.58,0.51,0.59,0.29,0.62,0.48,0.42,0.62,0.32
opensim4opencog.csv,0.64,0.74,0.68,0.77,0.6,0.23,0.58,0.51,0.52,0.59,0.43
t-2.csv,0.46,0.48,0.45,0.56,0.44,0.09,0.47,0.66,0.43,0.57,0.62
xcf.csv,0.5,0.74,0.65,0.73,0.43,0.29,0.62,0.44,0.56,0.49,0.78
