,foursquared.csv,repositorium.csv,xbg.csv,simplewebservices.csv
foursquared.csv,0.47,0.0,0.5,0.95
repositorium.csv,0.88,0.61,0.67,0.7
simplewebservices.csv,0.31,0.45,0.6,0.48
xbg.csv,0.88,0.8,0.59,0.61
