,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.39,1.0,0.15,0.75,0.93,0.84,0.41,0.46,0.76,0.39
ivatamasks.csv,0.29,1.0,0.09,0.83,0.64,0.8,0.33,0.23,0.72,0.23
orc.csv,0.33,1.0,0.3,0.73,0.56,0.86,0.4,0.25,0.83,0.36
plato.csv,0.28,0.99,0.08,0.72,0.67,0.94,0.37,0.21,0.73,0.23
rodin-b-sharp.csv,1.0,0.97,0.41,0.6,0.71,0.85,0.76,0.12,0.88,0.1
umber.csv,0.75,0.98,0.1,0.74,0.65,0.84,0.38,0.16,0.82,0.21
unicase.csv,0.55,1.0,0.11,0.67,0.61,0.87,0.42,0.24,0.83,0.21
uwom.csv,0.09,1.0,0.18,0.78,0.62,0.88,0.21,0.19,0.8,0.48
vienna-add-in.csv,0.27,0.99,0.08,0.66,0.82,0.78,0.25,0.18,0.61,0.22
wpdev.csv,0.26,1.0,0.1,0.68,0.66,0.84,0.36,0.16,0.73,0.28
