,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,mycila.csv,azureus.csv,personalaccess.csv,octet.csv,servicestack.csv,gephex.csv,rcp-company-uibindings.csv,javaprofiler.csv
adonthell.csv,1.0,0.46,0.71,0.5,1.0,0.73,0.5,0.36,0.6,0.18,0.12,0.23,0.88,0.07,0.29,0.78,0.93,0.7
autofac.csv,1.0,0.4,0.77,1.0,0.67,0.69,0.36,0.32,0.53,0.13,0.07,0.29,0.85,0.15,0.43,0.65,0.98,0.8
azureus.csv,1.0,0.56,0.71,0.44,0.73,0.75,0.67,0.31,0.21,0.16,0.67,0.98,0.87,0.0,0.5,0.78,1.0,0.79
dsworkbench.csv,1.0,0.4,1.0,0.4,0.82,0.92,0.27,0.41,0.71,0.08,0.2,0.27,0.96,0.23,0.39,0.65,1.0,0.81
forester-atv.csv,0.0,1.0,0.0,0.75,0.67,1.0,0.75,0.4,0.5,0.12,0.0,0.5,0.83,0.0,1.0,0.0,1.0,1.0
freelords.csv,0.96,0.4,0.77,0.61,0.55,1.0,0.26,0.34,0.55,0.11,0.19,0.28,0.88,0.11,0.33,0.64,0.96,0.72
gabel.csv,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
gephex.csv,1.0,0.41,0.79,0.56,0.6,0.88,0.43,0.38,0.0,0.12,0.11,0.39,0.89,0.2,0.32,0.97,0.97,0.76
google-collections.csv,1.0,0.39,0.76,0.47,0.56,0.74,0.29,0.35,0.38,0.08,0.19,0.26,0.83,0.12,0.27,0.63,0.96,0.68
javaprofiler.csv,0.97,0.47,0.77,0.6,0.63,0.79,0.41,0.33,0.25,0.12,0.2,0.31,0.9,0.18,0.67,0.65,0.98,1.0
jpaul.csv,1.0,0.41,0.81,0.92,0.78,0.61,1.0,0.37,1.0,0.19,0.0,0.41,0.82,0.25,0.38,0.83,1.0,0.92
mycila.csv,0.97,0.19,0.75,0.36,0.72,0.68,0.17,0.39,0.28,0.13,1.0,0.19,0.78,0.0,0.17,0.78,0.95,0.52
neodatis-odb.csv,0.94,0.43,0.81,0.48,0.59,0.57,0.29,1.0,0.5,0.04,0.0,0.24,0.76,0.11,0.17,0.63,0.99,0.7
octet.csv,0.91,0.42,0.75,0.67,0.55,0.46,0.0,0.57,1.0,0.22,0.0,0.35,0.77,1.0,0.33,0.74,1.0,0.92
personalaccess.csv,0.98,0.49,0.8,0.53,0.83,0.82,0.39,0.26,0.45,0.09,0.26,0.26,1.0,0.17,0.34,0.81,0.98,0.55
rcp-company-uibindings.csv,1.0,0.38,0.79,0.45,0.56,0.8,0.32,0.35,0.39,0.09,0.2,0.28,0.84,0.12,0.39,0.63,1.0,0.71
scenemonitor.csv,0.95,0.42,0.77,0.59,0.5,0.78,0.33,0.41,1.0,0.15,0.19,0.32,0.86,0.14,0.35,0.62,0.98,0.79
servicestack.csv,0.98,0.39,0.73,0.62,0.61,0.69,0.43,0.33,0.5,0.15,0.18,0.29,0.86,0.1,1.0,0.67,0.97,0.73
