,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,mycila.csv,azureus.csv,personalaccess.csv,octet.csv,servicestack.csv,gephex.csv,rcp-company-uibindings.csv,javaprofiler.csv
adonthell.csv,0.22,0.27,0.37,0.25,0.96,0.24,0.57,0.36,0.18,0.43,0.12,0.27,0.28,0.32,0.15,0.4,0.19,0.29
autofac.csv,0.6,0.21,0.56,0.94,0.44,0.43,0.65,0.52,0.49,0.79,0.22,0.62,0.62,0.57,0.56,0.52,0.63,0.64
azureus.csv,0.18,0.6,0.28,0.32,0.16,0.13,0.4,0.35,0.18,0.64,0.24,0.92,0.32,0.0,0.34,0.34,0.49,0.18
dsworkbench.csv,0.36,0.48,1.0,0.09,0.18,0.34,0.43,0.39,0.29,0.41,0.12,0.4,0.4,0.47,0.45,0.21,0.32,0.27
forester-atv.csv,0.0,1.0,0.0,0.12,0.04,0.04,0.22,0.06,0.12,0.15,0.0,0.05,0.05,0.0,0.15,0.0,0.07,0.05
freelords.csv,0.0,0.56,0.59,0.72,0.54,0.99,0.33,0.49,0.75,0.68,0.49,0.52,0.64,0.44,0.59,0.56,0.56,0.52
gabel.csv,0.0,0.05,0.0,0.09,0.0,0.0,0.15,0.0,0.0,1.0,0.0,0.05,0.06,0.0,0.0,0.0,0.0,0.04
gephex.csv,0.48,0.45,0.59,0.2,0.57,0.43,0.56,0.42,0.0,0.74,0.12,0.7,0.36,0.33,0.5,0.99,0.34,0.25
google-collections.csv,1.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
javaprofiler.csv,0.43,0.67,0.53,0.35,0.61,0.61,0.7,0.49,0.35,0.72,0.43,0.66,0.56,0.58,0.4,0.56,0.57,1.0
jpaul.csv,0.31,0.48,0.46,0.46,0.15,0.17,1.0,0.31,0.12,0.74,0.0,0.69,0.31,0.33,0.33,0.09,0.23,0.18
mycila.csv,0.37,0.14,0.21,0.34,0.26,0.26,0.07,0.34,0.28,0.29,1.0,0.09,0.27,0.0,0.07,0.24,0.42,0.19
neodatis-odb.csv,0.23,0.59,0.3,0.44,0.2,0.25,0.28,0.96,0.29,0.14,0.0,0.25,0.35,0.52,0.21,0.2,0.42,0.49
octet.csv,0.0,0.45,0.28,0.17,0.34,0.16,0.0,0.37,0.18,0.54,0.0,0.4,0.25,0.88,0.15,0.28,0.15,0.18
personalaccess.csv,0.59,0.69,0.61,0.6,0.37,0.68,0.71,0.41,0.66,0.49,0.6,0.39,0.98,0.47,0.59,0.21,0.54,0.35
rcp-company-uibindings.csv,0.88,0.2,0.54,0.0,0.0,0.69,0.41,0.27,0.46,0.47,0.39,0.52,0.47,0.34,0.68,0.0,1.0,0.61
scenemonitor.csv,0.0,0.46,0.58,0.71,0.47,0.59,0.62,0.61,0.96,0.83,0.43,0.68,0.61,0.61,0.69,0.46,0.66,0.6
servicestack.csv,0.57,0.48,0.5,0.68,0.58,0.33,0.61,0.52,0.57,0.84,0.41,0.54,0.61,0.43,1.0,0.47,0.65,0.59
