,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,aten.csv,papertoolkit.csv,ofbiz.csv,ibatisdb.csv,xcf.csv,web-cat.csv
cleartk.csv,0.01,0.89,0.34,0.98,0.19,0.41,0.85,0.92,0.36,0.21,0.05,0.99,0.04,0.66,0.22,0.62,0.28
encog-cs.csv,0.01,0.9,0.25,0.86,0.25,0.29,0.78,0.93,0.56,0.18,0.03,1.0,0.06,0.68,0.25,0.5,0.4
extprosys.csv,0.02,0.87,0.44,0.92,0.28,0.31,0.75,0.9,0.36,0.19,0.04,0.99,0.04,0.69,0.34,0.5,0.3
ibatisdb.csv,0.0,0.88,0.33,0.83,0.31,0.36,1.0,0.9,0.44,0.2,0.07,1.0,0.08,0.63,0.6,0.86,0.86
intact.csv,0.0,0.87,0.29,0.91,0.31,0.45,0.83,0.95,0.44,0.2,0.04,0.99,0.03,0.72,0.3,0.62,0.33
japano.csv,0.0,0.88,0.31,0.88,0.29,0.29,0.77,0.97,0.37,0.18,0.02,1.0,0.05,0.66,0.24,0.48,0.45
lockss.csv,0.04,1.0,0.38,1.0,0.36,0.33,1.0,0.93,0.54,0.33,0.07,1.0,0.11,0.75,0.39,0.82,0.3
ofbiz.csv,0.0,0.9,0.28,0.87,0.23,0.26,0.8,0.95,0.43,0.12,0.03,1.0,0.11,0.82,0.21,0.7,0.37
officefloor.csv,0.02,1.0,0.26,0.89,0.29,0.3,1.0,0.91,0.42,0.17,0.06,1.0,0.0,0.81,0.33,1.0,0.32
opennms.csv,0.0,0.81,0.5,0.84,0.44,0.33,0.77,1.0,0.47,0.24,0.07,1.0,0.07,0.74,0.42,0.5,0.4
papertoolkit.csv,0.0,0.91,0.27,0.84,0.17,0.47,0.6,0.94,0.57,0.19,0.02,1.0,0.25,0.7,0.25,0.52,0.33
rohxel.csv,0.02,1.0,0.29,0.94,0.21,0.4,0.93,0.97,0.61,0.28,0.04,1.0,0.0,0.69,0.19,0.55,0.0
sevenupdate.csv,0.01,1.0,0.28,0.88,0.24,0.29,0.78,0.93,0.36,0.19,0.03,0.99,0.06,0.67,0.26,0.53,0.38
web-cat.csv,0.01,0.92,0.25,0.88,0.24,0.34,0.77,0.89,0.38,0.14,0.03,0.99,0.07,0.72,0.37,0.53,0.62
xcf.csv,0.0,0.91,0.31,0.89,0.29,0.38,0.79,0.92,0.44,0.23,0.03,0.99,0.2,0.76,0.32,0.74,0.41
