,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,aten.csv,papertoolkit.csv,ofbiz.csv,ibatisdb.csv,xcf.csv,web-cat.csv
cleartk.csv,1.0,0.65,0.62,0.84,0.39,0.6,0.59,0.71,0.71,1.0,0.68,0.85,0.67,0.62,0.56,0.78,0.37
encog-cs.csv,1.0,0.57,0.74,0.83,0.82,0.97,0.9,0.85,0.68,0.18,0.84,0.67,1.0,0.76,0.78,0.75,0.84
extprosys.csv,1.0,0.82,0.58,0.85,0.93,0.63,0.38,0.56,0.91,1.0,0.82,0.45,0.67,0.86,0.86,0.62,0.37
ibatisdb.csv,0.0,0.31,0.26,0.19,0.39,0.33,0.18,0.22,0.39,0.41,0.39,0.19,0.33,0.08,0.81,0.19,0.32
intact.csv,0.0,0.84,0.6,0.57,0.79,0.63,0.26,0.47,0.61,1.0,0.92,0.44,0.33,0.91,0.56,0.47,0.26
japano.csv,0.0,0.94,0.85,0.92,0.89,0.8,0.95,0.74,0.92,0.77,0.79,0.64,1.0,0.84,0.72,0.81,0.74
lockss.csv,1.0,0.27,0.09,0.02,0.32,0.13,0.26,0.34,0.21,0.64,0.63,0.07,0.33,0.33,0.31,0.28,0.16
ofbiz.csv,0.0,0.76,0.92,0.4,0.39,0.57,0.51,0.45,0.59,0.14,0.89,0.54,0.67,0.75,0.39,0.5,0.68
officefloor.csv,1.0,0.22,0.19,0.48,0.21,0.2,0.03,0.51,0.42,0.23,0.63,0.47,0.0,0.26,0.58,0.31,0.53
opennms.csv,0.0,0.43,0.08,0.16,0.61,0.2,0.62,0.22,0.32,0.41,0.34,0.12,0.67,0.49,0.28,0.28,0.11
papertoolkit.csv,0.0,0.2,0.23,0.3,0.11,0.3,0.08,0.25,0.32,0.23,0.61,0.23,1.0,0.27,0.08,0.41,0.26
rohxel.csv,1.0,0.24,0.75,0.16,0.21,0.27,0.67,0.47,0.21,0.23,0.39,0.49,0.0,0.16,0.19,0.19,0.0
sevenupdate.csv,1.0,0.73,1.0,1.0,0.82,1.0,1.0,1.0,0.94,0.5,0.97,0.93,1.0,0.93,1.0,0.97,1.0
web-cat.csv,1.0,0.47,0.64,0.71,0.64,0.67,0.85,0.45,0.86,0.45,0.82,0.71,0.67,0.73,0.81,0.78,0.84
xcf.csv,0.0,0.41,0.58,0.79,0.54,0.5,0.69,0.59,0.67,0.45,0.84,0.7,0.67,0.5,0.92,0.81,0.89
