,moviesandbox.csv,libtorrent.csv,sigil.csv,xbg.csv,xtreemfs.csv,crux-framework.csv
crux-framework.csv,0.11,0.36,0.2,0.0,0.23,0.97
libtorrent.csv,0.61,0.76,0.61,0.6,0.42,0.0
moviesandbox.csv,0.71,0.37,0.78,0.58,0.73,0.61
sigil.csv,0.74,0.5,0.83,0.72,0.8,0.66
xbg.csv,0.06,0.26,0.12,0.94,0.05,0.0
xtreemfs.csv,0.63,0.57,0.82,0.62,0.84,0.69
