,moviesandbox.csv,libtorrent.csv,sigil.csv,xbg.csv,xtreemfs.csv,crux-framework.csv
crux-framework.csv,0.9,0.69,0.93,0.0,0.98,0.84
libtorrent.csv,0.39,0.37,0.46,0.5,0.31,0.42
moviesandbox.csv,0.4,0.69,0.51,0.5,0.42,0.69
sigil.csv,0.37,0.48,0.43,0.52,0.37,0.44
xbg.csv,0.8,0.96,0.92,0.64,0.95,0.89
xtreemfs.csv,0.42,0.48,0.49,0.58,0.38,0.45
