,plee-the-bear.csv,google-caja.csv,genecys.csv,itext.csv
genecys.csv,0.41,0.33,0.45,0.47
google-caja.csv,0.38,0.35,0.32,0.46
itext.csv,0.57,0.41,0.32,0.45
plee-the-bear.csv,0.97,0.92,0.83,0.57
