,plee-the-bear.csv,google-caja.csv,genecys.csv,itext.csv
genecys.csv,0.09,0.59,1.0,0.13
google-caja.csv,0.68,1.0,0.61,0.53
itext.csv,0.71,0.61,0.46,0.98
plee-the-bear.csv,0.93,0.27,0.36,0.58
