,owlib.csv,baadengine.csv,barracudamvc.csv,sidekar.csv,springside.csv,jgnash.csv,jsr308-langtools.csv,owlapi.csv,ingex.csv
baadengine.csv,0.48,0.44,0.33,0.46,0.6,0.45,0.46,0.55,0.53
barracudamvc.csv,0.43,0.43,0.37,0.46,0.48,0.39,0.39,0.51,0.36
ingex.csv,0.97,0.68,0.77,0.85,0.95,0.96,0.73,0.8,0.59
jgnash.csv,0.84,0.6,0.83,0.89,0.93,0.96,0.8,0.86,0.93
jsr308-langtools.csv,0.43,0.48,0.35,0.42,0.5,0.39,0.37,0.46,0.33
owlapi.csv,0.0,0.91,0.0,0.83,0.83,0.88,0.75,0.92,0.0
owlib.csv,0.53,0.57,0.34,0.51,0.78,0.65,0.5,0.58,0.38
sidekar.csv,0.69,0.46,0.41,0.52,0.73,0.4,0.39,0.54,0.49
springside.csv,0.51,0.38,0.4,0.41,0.6,0.4,0.36,0.56,0.35
