,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.79,0.09,0.98,0.97,0.85,0.79,0.74,0.78,0.9,0.78,0.79
libtorrent.csv,0.83,0.83,0.84,0.73,0.57,0.02,0.74,0.69,0.93,0.9,0.61
mcmc-jags.csv,0.62,0.97,0.6,0.08,0.54,0.58,0.52,0.44,0.92,0.63,0.58
natpad.csv,0.48,0.74,0.68,0.49,0.58,0.67,0.56,0.68,0.6,0.4,0.0
nebuladevice.csv,0.71,0.73,0.72,0.83,0.73,0.79,0.79,0.65,0.07,0.91,0.68
olap-navigator.csv,0.0,0.76,0.61,0.48,0.59,0.69,0.51,0.55,0.75,0.66,0.66
pidgin.csv,0.62,0.62,0.58,0.62,0.02,0.55,0.5,0.96,0.61,0.47,0.49
salasaga.csv,0.9,0.77,0.87,1.01,0.86,1.02,0.92,0.04,0.87,0.85,0.91
sepgsql.csv,1.02,0.88,0.11,0.87,0.91,0.88,1.0,1.0,1.01,0.94,0.95
xstore.csv,0.6,0.67,0.6,0.54,0.69,0.73,0.0,0.55,0.59,0.73,0.48
xtreemfs.csv,0.57,0.68,0.68,0.54,0.5,0.5,0.51,0.65,0.61,0.0,0.59
