,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.88,0.6,0.42,0.92,0.92,0.96,0.9,0.73,0.95,0.66,0.46
libtorrent.csv,0.39,0.37,0.4,0.49,0.33,0.37,0.46,0.46,0.33,0.3,0.38
mcmc-jags.csv,0.44,0.39,0.58,0.75,0.44,0.44,0.47,0.51,0.34,0.34,0.42
natpad.csv,0.51,0.48,0.48,0.64,0.46,0.49,0.46,0.73,0.49,0.38,0.56
nebuladevice.csv,0.96,0.75,0.93,0.85,0.64,0.95,0.95,0.63,0.93,0.98,0.63
olap-navigator.csv,0.52,0.4,0.7,0.62,0.58,0.66,0.49,0.61,0.55,0.33,0.67
pidgin.csv,0.53,0.41,0.38,0.77,0.39,0.36,0.49,0.54,0.43,0.36,0.39
salasaga.csv,0.52,0.42,0.47,0.46,0.48,0.42,0.55,0.89,0.37,0.35,0.52
sepgsql.csv,0.95,0.88,0.96,0.67,0.97,0.95,0.0,0.0,0.92,0.94,0.5
xstore.csv,0.38,0.35,0.39,0.67,0.37,0.39,0.52,0.43,0.37,0.39,0.39
xtreemfs.csv,0.42,0.36,0.35,0.78,0.4,0.39,0.4,0.62,0.5,0.34,0.35
