,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.69,0.55,0.42,0.99,0.47,0.94,0.76,0.81,0.68,0.57
flylegacy.csv,0.45,0.93,0.39,0.52,0.42,0.86,0.39,0.48,0.47,0.59
jguard.csv,0.4,0.45,0.39,0.42,0.43,0.67,0.4,0.35,0.43,0.85
m-a-d-n-e-s-s.csv,0.67,0.53,0.37,0.57,0.48,0.56,0.42,0.67,0.62,0.73
mob-sen-plat.csv,0.37,0.38,0.47,0.46,0.49,0.44,0.44,0.33,0.46,0.67
raygina.csv,0.61,0.5,0.59,0.63,0.86,0.9,0.74,0.55,0.9,0.83
st-filteredstatistics.csv,0.39,0.56,0.59,0.38,0.57,0.42,0.38,0.33,0.6,0.57
upp-mirror.csv,0.54,0.83,0.41,0.68,0.45,0.79,0.42,0.89,0.53,0.76
wishmaster.csv,0.8,0.8,0.61,0.76,0.82,0.76,0.92,0.6,0.77,0.8
yarp.csv,0.89,0.8,0.92,0.99,0.91,0.94,0.92,0.91,0.94,0.67
