,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,open-ms.csv,tango-cs.csv,geochat.csv
decidr.csv,3.0,3.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,5.0,4.0,19.0,0.0,1.0,1.0,6.0,0.0,5.0
doomlegacy.csv,6.0,1.0,1.0,0.0,7.0,3.0,2.0,4.0,0.0,1.0,1.0,17.0,0.0,3.0,1.0,4.0,0.0,14.0
elmo.csv,2.0,0.0,297.0,0.0,2.0,104.0,0.0,0.0,232.0,52.0,1.0,300.0,105.0,3.0,77.0,1.0,0.0,1.0
geochat.csv,6.0,8.0,1.0,1.0,3.0,4.0,1.0,0.0,3.0,4.0,1.0,12.0,0.0,14.0,0.0,4.0,0.0,0.0
gpac.csv,6.0,14.0,2.0,0.0,2.0,11.0,4.0,0.0,1.0,7.0,1.0,19.0,1.0,5.0,0.0,9.0,0.0,8.0
illumination.csv,0.0,5.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,4.0,4.0,31.0,1.0,0.0,2.0,9.0,0.0,1.0
ktc.csv,0.0,4.0,1.0,1.0,3.0,6.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,5.0,2.0,9.0,0.0,11.0
neoengine.csv,5.0,8.0,0.0,0.0,5.0,14.0,0.0,0.0,3.0,4.0,1.0,60.0,1.0,7.0,6.0,7.0,0.0,13.0
nicepress.csv,4.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,52.0,1.0,17.0,1.0,12.0,2.0,7.0,0.0,0.0
omseek.csv,13.0,8.0,1.0,1.0,8.0,1.0,1.0,4.0,3.0,4.0,2.0,0.0,1.0,2.0,0.0,7.0,0.0,18.0
open-ms.csv,17.0,15.0,2.0,0.0,5.0,6.0,0.0,0.0,3.0,4.0,1.0,72.0,1.0,7.0,77.0,0.0,0.0,11.0
pi-qmc.csv,2.0,7.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,4.0,0.0,9.0,0.0,5.0
rosegarden.csv,11.0,7.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,46.0,1.0,4.0,4.0,4.0,0.0,3.0
smarttag.csv,1.0,9.0,1.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,1.0,29.0,1.0,2.0,2.0,8.0,1.0,6.0
sylpheed-claws.csv,8.0,2.0,3.0,1.0,1.0,5.0,5.0,0.0,0.0,1.0,5.0,24.0,1.0,3.0,6.0,10.0,0.0,7.0
tango-cs.csv,5.0,7.0,1.0,0.0,4.0,8.0,1.0,3.0,3.0,2.0,1.0,53.0,0.0,5.0,3.0,14.0,0.0,12.0
xemeiah.csv,6.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,2.0,11.0,0.0,5.0
zscreen.csv,8.0,7.0,3.0,0.0,7.0,7.0,0.0,0.0,0.0,2.0,1.0,44.0,0.0,2.0,5.0,13.0,0.0,9.0
