,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,open-ms.csv,tango-cs.csv,geochat.csv
decidr.csv,0.47,0.13,0.52,0.7,0.36,0.45,1.0,0.61,0.6,0.28,0.62,0.11,0.82,0.29,0.5,0.22,0.45,0.24
doomlegacy.csv,0.49,0.12,0.46,0.73,0.36,0.48,0.68,0.6,0.58,0.33,0.51,0.16,1.0,0.27,0.52,0.25,0.47,0.27
elmo.csv,0.3,1.0,0.0,0.67,0.08,0.0,0.9,1.0,0.0,0.0,0.33,0.0,0.0,0.25,0.0,0.4,0.71,0.3
geochat.csv,0.54,0.07,0.6,0.47,0.31,0.48,0.65,0.52,0.51,0.25,0.48,0.11,0.82,0.12,1.0,0.27,0.38,0.96
gpac.csv,0.5,0.11,0.53,0.74,0.44,0.27,0.54,0.98,0.61,0.29,0.48,0.18,0.86,0.18,0.65,0.25,0.38,0.26
illumination.csv,0.62,0.18,0.39,0.48,0.42,0.42,0.62,0.48,0.58,0.14,0.43,0.13,0.79,1.0,0.46,0.22,0.5,0.29
ktc.csv,1.0,0.1,0.59,0.71,0.6,0.45,0.83,0.65,0.74,0.33,0.61,0.22,0.8,0.24,0.71,0.31,0.48,0.21
neoengine.csv,0.48,0.07,1.0,0.78,0.37,0.34,0.68,0.54,0.48,0.28,0.48,0.12,0.78,0.25,0.33,0.26,0.44,0.22
nicepress.csv,0.72,0.08,0.68,1.0,0.57,1.0,0.67,0.63,0.46,0.0,0.66,0.19,0.84,0.21,0.55,0.31,0.52,0.4
omseek.csv,0.41,0.03,0.65,0.86,0.41,0.77,0.39,0.46,0.32,0.27,0.45,1.0,0.78,0.14,1.0,0.29,0.42,0.27
open-ms.csv,0.41,0.08,0.43,0.53,0.42,0.43,0.49,0.73,0.42,0.26,0.55,0.1,0.7,0.13,0.0,1.0,0.43,0.21
pi-qmc.csv,0.54,0.05,0.5,0.67,0.41,0.46,0.71,0.52,0.67,0.5,0.62,0.17,0.8,0.17,1.0,0.23,0.41,0.29
rosegarden.csv,0.67,0.07,0.55,0.6,0.98,0.41,0.75,0.67,0.64,0.33,0.64,0.15,0.8,0.27,0.55,0.32,0.58,0.17
smarttag.csv,0.62,0.08,0.41,0.78,0.42,0.53,0.69,0.65,0.41,1.0,0.66,0.17,0.81,0.17,0.36,0.31,0.35,0.15
sylpheed-claws.csv,0.5,0.1,0.43,0.69,0.43,0.49,0.56,0.58,0.99,0.32,0.53,0.11,0.78,0.28,0.43,0.26,0.4,0.24
tango-cs.csv,0.73,0.05,0.49,1.0,0.38,0.16,0.73,0.63,0.24,0.35,0.46,0.12,0.9,0.14,0.48,0.27,1.0,0.18
xemeiah.csv,0.66,0.13,0.54,0.87,0.52,0.52,0.73,0.57,0.66,0.19,1.0,0.24,0.82,0.29,0.61,0.25,0.41,0.32
zscreen.csv,0.44,0.07,0.36,1.0,0.27,0.39,0.59,0.44,0.52,0.24,0.45,0.11,0.8,0.15,0.22,0.23,0.46,0.25
