,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.63,0.82,0.88,0.81,0.43,0.7,0.81,0.62,1.01,0.67,0.98
elateportal.csv,0.63,0.78,0.92,0.62,0.87,0.73,0.59,0.83,1.0,0.86,0.05
etics.csv,0.75,0.81,0.28,0.63,0.61,1.0,0.89,0.78,1.11,0.84,0.95
lockss.csv,0.61,0.62,0.57,0.48,0.63,0.54,0.76,0.53,0.69,0.94,0.86
pcgen.csv,0.87,1.0,0.94,0.4,0.97,0.65,0.84,0.75,0.67,0.99,0.51
personalaccess.csv,0.75,0.72,0.62,0.46,0.55,0.55,0.79,0.36,0.85,0.74,0.91
pydev.csv,0.63,0.7,0.42,0.81,0.56,0.71,0.85,0.57,1.33,0.41,0.95
rhex.csv,0.27,0.62,1.0,0.66,0.84,0.79,0.83,0.75,0.3,0.68,1.15
stuproa-cims.csv,0.83,0.95,1.0,0.48,0.93,0.87,0.5,0.88,0.6,0.63,0.93
uclmda.csv,0.84,0.97,0.95,0.93,1.01,1.0,0.98,0.95,0.01,0.98,0.97
wgs-assembler.csv,0.66,0.49,0.51,0.57,0.56,0.85,0.72,0.49,0.66,0.79,0.9
