,kdenlive.csv,jatlas.csv,m-m-m.csv,x-ray-mule.csv,jrefactory.csv,algebsql.csv,emisview.csv,opennms.csv,rohxel.csv,cuberok.csv,jgossipforum.csv,octet.csv,power-architect.csv,jchassis.csv,jas.csv,poormans.csv,opendvr.csv,synecdoche.csv,javaprofiler.csv,thedata.csv
algebsql.csv,0.95,1.02,0.81,0.55,0.86,0.17,0.89,0.8,0.94,0.8,0.85,0.86,0.87,0.52,0.88,0.71,0.77,0.76,0.93,0.8
cuberok.csv,0.7,0.46,0.73,0.76,0.81,0.8,0.68,0.69,0.74,0.42,0.8,0.75,0.75,0.38,0.74,0.58,0.98,0.7,0.58,0.73
emisview.csv,1.0,0.65,0.92,1.0,0.91,0.83,0.46,0.71,0.69,1.0,0.81,0.87,0.74,1.0,0.28,0.48,1.0,1.0,0.89,1.01
jas.csv,0.58,0.8,0.77,0.4,0.97,0.75,0.61,0.59,0.79,0.72,0.53,0.75,0.65,0.51,0.17,0.73,0.76,0.81,0.77,1.0
jatlas.csv,0.74,0.16,0.75,0.95,0.68,0.69,0.83,0.77,0.95,0.76,1.0,0.68,1.0,1.0,0.52,0.47,0.91,0.64,0.93,0.62
javaprofiler.csv,0.8,0.74,0.65,1.0,0.89,0.87,0.46,0.72,0.84,0.82,0.35,0.62,0.78,0.86,0.85,0.76,0.92,0.88,0.26,0.81
jchassis.csv,1.0,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.08,1.0,1.0,1.0,1.0,1.0,1.0
jgossipforum.csv,0.64,0.81,0.88,0.81,0.83,0.95,0.59,0.73,0.65,0.66,0.06,0.86,0.94,1.06,1.0,0.66,0.85,0.73,0.8,0.51
jrefactory.csv,0.63,1.03,0.52,0.99,0.42,0.7,0.96,0.96,0.7,0.7,0.93,0.98,0.79,0.79,1.15,0.87,0.77,0.73,0.88,0.97
kdenlive.csv,0.45,0.44,0.73,0.86,0.69,0.89,0.78,0.66,0.54,0.44,0.82,0.65,0.88,1.07,0.66,0.5,0.69,0.81,0.79,1.04
m-m-m.csv,0.55,0.94,0.27,0.33,0.71,0.97,0.62,0.82,0.65,0.65,0.8,1.01,0.69,0.93,0.94,0.73,0.71,0.8,0.95,1.0
octet.csv,0.81,0.71,0.89,0.84,0.89,0.61,1.0,0.97,0.71,0.75,0.75,0.28,1.0,1.04,0.51,0.85,0.77,0.86,0.77,0.81
opendvr.csv,0.73,0.49,0.95,0.97,0.84,0.91,0.45,0.52,0.83,0.79,0.42,0.72,0.56,1.01,0.46,0.52,0.45,0.72,0.77,0.78
opennms.csv,0.82,0.5,1.0,0.97,1.0,0.91,0.63,0.45,0.69,0.83,0.44,0.86,0.85,1.0,0.63,1.0,0.87,1.0,1.0,1.0
poormans.csv,0.84,0.6,0.88,1.0,0.79,0.96,0.72,0.73,0.97,0.75,0.8,0.72,0.95,1.0,0.78,0.32,1.0,0.9,0.95,0.77
power-architect.csv,1.0,1.0,0.98,1.0,0.97,0.77,0.66,0.8,1.0,0.94,0.81,0.8,0.3,1.0,0.78,0.9,1.0,1.0,1.0,0.96
rohxel.csv,0.57,0.82,0.96,0.8,0.8,1.03,0.74,0.8,0.34,0.81,1.0,0.73,0.96,1.0,0.88,0.58,0.63,0.77,0.95,1.0
synecdoche.csv,0.82,0.72,1.04,1.1,0.73,0.62,0.8,0.63,0.71,1.0,0.66,0.82,0.63,1.05,1.01,0.71,0.64,0.47,0.88,0.77
thedata.csv,0.51,0.58,0.93,0.8,0.66,0.83,0.86,0.7,0.86,0.8,0.76,0.97,0.9,1.14,0.68,0.71,0.72,0.8,0.73,0.08
x-ray-mule.csv,0.82,0.57,0.87,0.26,0.94,1.05,0.84,0.62,0.72,1.01,0.69,0.9,0.86,1.02,0.78,0.81,1.0,0.92,0.62,1.0
