,kdenlive.csv,jatlas.csv,m-m-m.csv,x-ray-mule.csv,jrefactory.csv,algebsql.csv,emisview.csv,opennms.csv,rohxel.csv,cuberok.csv,jgossipforum.csv,octet.csv,power-architect.csv,jchassis.csv,jas.csv,poormans.csv,opendvr.csv,synecdoche.csv,javaprofiler.csv,thedata.csv
algebsql.csv,0.79,0.92,0.95,0.95,0.81,0.74,0.36,0.43,0.8,0.6,0.88,0.0,0.39,0.91,0.93,0.52,0.61,0.9,0.71,0.94
cuberok.csv,0.53,0.6,0.65,0.93,0.56,0.52,0.53,0.67,0.56,0.56,0.9,0.57,0.55,0.81,0.53,0.62,0.45,0.75,0.66,0.4
emisview.csv,0.0,0.76,0.86,0.0,0.93,0.69,0.46,0.57,0.5,0.0,0.96,0.88,0.62,0.75,0.85,0.56,0.0,0.0,0.88,0.88
jas.csv,0.44,0.57,0.67,0.57,0.86,0.47,0.64,0.62,0.43,0.53,0.51,0.92,0.79,0.83,0.86,0.58,0.48,0.58,0.84,0.8
jatlas.csv,0.92,0.6,0.5,0.8,0.55,0.53,0.38,0.46,0.5,0.73,0.95,0.5,0.43,0.8,0.45,0.55,0.75,0.94,0.86,0.48
javaprofiler.csv,0.4,0.47,0.57,0.46,0.42,0.47,0.49,0.45,0.39,0.41,0.59,0.43,0.48,0.53,0.43,0.47,0.44,0.42,0.49,0.39
jchassis.csv,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0
jgossipforum.csv,0.44,0.89,0.42,0.47,0.62,0.86,0.68,0.89,0.5,0.42,0.94,0.67,0.61,0.42,0.75,0.79,0.53,0.36,0.83,0.89
jrefactory.csv,0.47,0.59,0.66,0.35,0.52,0.52,0.75,0.73,0.46,0.42,0.74,0.45,0.79,0.59,0.49,0.73,0.57,0.42,0.43,0.38
kdenlive.csv,0.36,0.39,0.41,0.41,0.35,0.5,0.3,0.38,0.38,0.41,0.67,0.47,0.33,0.4,0.38,0.36,0.5,0.37,0.49,0.33
m-m-m.csv,0.41,0.4,0.73,0.62,0.42,0.43,0.45,0.57,0.41,0.43,0.7,0.46,0.48,0.62,0.48,0.61,0.48,0.44,0.42,0.37
octet.csv,0.48,0.43,0.54,0.56,0.46,0.48,0.3,0.35,0.48,0.43,0.44,0.72,0.34,0.55,0.43,0.43,0.53,0.39,0.61,0.65
opendvr.csv,0.8,0.57,0.4,0.7,0.48,0.83,0.41,0.54,0.88,0.9,0.55,0.8,0.4,0.6,0.49,0.44,0.71,0.83,0.76,0.64
opennms.csv,0.95,0.59,0.0,0.0,0.0,0.83,0.64,0.65,0.5,0.88,0.79,0.8,0.91,0.0,0.86,0.86,0.7,0.0,0.0,0.8
poormans.csv,0.94,0.8,0.5,0.5,0.8,0.67,0.3,0.43,0.0,0.89,0.95,0.8,0.52,0.5,0.63,0.48,0.0,0.86,0.75,0.67
power-architect.csv,0.42,0.4,0.55,0.45,0.38,0.44,0.43,0.37,0.38,0.38,0.44,0.54,0.48,0.5,0.4,0.46,0.44,0.38,0.4,0.38
rohxel.csv,0.44,0.91,0.5,0.83,0.94,0.78,0.51,0.94,0.47,0.69,0.0,0.78,0.8,0.67,0.83,0.67,0.6,0.58,0.88,0.83
synecdoche.csv,0.78,0.59,0.57,0.42,0.41,0.71,0.48,0.45,0.63,0.37,0.56,0.55,0.45,0.64,0.58,0.71,0.69,0.57,0.7,0.37
thedata.csv,0.37,0.58,0.6,0.34,0.59,0.47,0.53,0.49,0.47,0.43,0.5,0.53,0.38,0.64,0.61,0.5,0.46,0.36,0.51,0.89
x-ray-mule.csv,0.83,0.79,0.95,0.69,0.94,0.91,0.92,0.76,0.68,0.75,0.62,0.73,0.94,0.93,0.77,0.95,0.8,0.91,0.79,0.5
