,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.3,0.26,0.46,0.0,0.02,1.0,0.71,0.81,0.5,0.27
ibatisdb.csv,0.3,0.0,0.17,0.21,0.04,0.88,0.32,0.79,0.25,0.57
jmol.csv,0.18,0.11,0.13,0.24,0.02,0.88,0.56,0.69,0.21,0.26
liferea.csv,0.24,0.05,0.2,0.43,0.02,0.83,0.44,0.78,0.11,0.3
log4net.csv,0.67,1.0,0.17,0.24,0.16,0.92,0.71,0.74,0.23,0.21
pclasses.csv,0.44,0.0,0.4,0.25,0.04,0.75,0.54,0.67,0.18,0.15
psrchive.csv,0.2,0.4,0.4,0.24,0.07,0.82,0.71,0.7,0.3,0.2
re2c.csv,0.12,0.86,0.16,0.23,0.03,0.79,0.56,0.73,0.09,0.27
tycho.csv,0.17,0.44,0.3,0.24,0.04,0.85,0.76,0.68,0.32,0.1
xfce.csv,0.25,0.08,0.16,0.32,0.04,0.8,0.58,0.79,0.21,0.21
