,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.31,0.81,0.48,0.0,0.49,0.11,0.47,0.44,0.67,0.57
ibatisdb.csv,0.31,0.0,0.33,0.52,0.37,0.26,0.2,0.6,0.5,0.78
jmol.csv,0.59,0.09,0.17,0.56,0.0,0.69,0.54,0.0,0.55,0.21
liferea.csv,0.74,0.2,0.64,0.75,0.36,0.57,0.13,0.58,0.2,0.22
log4net.csv,0.22,0.2,0.4,0.57,0.97,0.13,0.39,0.51,0.27,0.17
pclasses.csv,0.75,0.0,0.17,0.1,0.66,0.18,0.4,0.01,0.4,0.28
psrchive.csv,0.31,0.7,0.73,0.58,0.69,0.17,0.47,0.57,0.56,0.29
re2c.csv,0.21,1.0,0.54,0.41,0.65,0.27,0.17,0.45,0.26,0.57
tycho.csv,0.21,0.71,0.47,0.41,0.37,0.26,0.77,0.25,0.31,0.21
xfce.csv,0.57,0.45,0.57,0.7,0.82,0.5,0.46,0.66,0.57,0.41
