,paintown.csv,triplea.csv,fbmanager.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,itext.csv,powerfolder.csv,fido.csv,megameknet.csv,fityk.csv,fleet-simulator.csv,hibernate.csv,geogebra.csv,duplicati.csv,xamj.csv
botsnscouts.csv,0.67,0.71,0.73,0.68,0.81,0.76,0.74,0.36,0.78,0.69,0.05,0.05,0.48,0.7,1.0,0.37,0.42,1.0,0.43
fbmanager.csv,0.0,1.0,0.77,0.78,1.0,0.73,0.0,0.0,0.88,0.0,0.05,0.0,0.0,0.92,1.0,0.0,0.0,1.0,0.0
fido.csv,0.0,1.0,0.0,0.69,0.77,0.0,0.77,0.0,0.5,0.0,0.03,0.24,0.0,0.0,1.0,0.36,0.1,1.0,0.3
fityk.csv,0.61,0.62,0.67,0.76,0.83,0.75,0.82,0.18,0.84,0.76,0.08,0.04,0.35,0.8,1.0,0.38,0.31,0.98,0.46
fleet-simulator.csv,0.49,0.6,0.54,0.68,0.8,0.5,0.77,0.19,0.71,0.58,0.04,0.04,0.29,0.66,1.0,0.31,0.27,0.98,0.37
freenet.csv,0.44,0.63,0.48,0.81,0.84,0.5,0.76,0.13,0.63,0.53,0.04,0.06,0.34,0.64,0.83,0.34,0.32,0.98,0.32
geogebra.csv,0.78,0.75,0.67,0.7,0.89,0.67,0.96,0.48,0.91,0.68,0.05,0.04,0.55,0.83,1.0,0.39,0.43,1.0,0.51
google-caja.csv,0.68,0.62,0.67,0.67,0.82,0.53,0.91,0.14,0.84,0.79,0.04,0.04,0.28,0.71,1.0,0.31,0.24,0.98,0.31
hibernate.csv,0.74,0.7,0.84,0.83,0.84,0.67,0.9,0.14,0.78,0.88,0.05,0.06,0.41,0.74,1.0,0.41,0.36,0.97,0.35
itext.csv,0.72,0.63,0.69,0.69,0.81,0.75,0.74,0.16,0.79,0.82,0.04,0.05,0.3,0.73,0.97,0.38,0.3,1.0,0.37
k3b.csv,0.71,0.65,0.57,0.69,0.81,0.66,0.78,0.14,0.86,0.75,0.06,0.03,0.29,0.72,0.89,0.32,0.23,1.0,0.31
megameknet.csv,0.47,0.67,0.54,0.77,0.91,0.57,0.73,0.15,0.68,0.59,0.04,0.03,0.44,0.73,0.83,0.39,0.26,1.0,0.52
myfaces.csv,0.65,0.79,0.83,0.79,0.87,0.61,0.96,0.34,0.8,0.92,0.05,0.05,0.64,0.76,1.0,0.4,0.49,1.0,0.38
onotoa.csv,0.36,0.69,0.38,0.66,0.86,0.35,0.62,0.08,0.61,0.29,0.0,0.03,0.22,0.6,1.0,0.24,0.13,0.96,0.18
paintown.csv,0.77,0.64,0.59,0.68,0.82,0.46,0.71,0.13,0.78,0.64,0.05,0.04,0.23,0.73,0.86,0.28,0.22,0.97,0.3
powerfolder.csv,0.7,0.71,0.62,0.75,0.84,0.78,1.0,0.19,0.84,0.71,0.31,0.04,0.22,0.7,0.95,0.41,0.28,1.0,0.53
triplea.csv,0.65,0.88,0.66,0.67,0.82,0.57,0.81,0.15,0.77,0.76,0.08,0.02,0.35,0.8,1.0,0.33,0.35,1.0,0.38
xamj.csv,0.61,0.64,0.62,0.66,0.82,0.55,0.77,0.31,0.81,0.58,0.11,0.06,0.26,0.75,1.0,0.36,0.38,1.0,0.56
