,paintown.csv,triplea.csv,fbmanager.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,itext.csv,powerfolder.csv,fido.csv,megameknet.csv,fityk.csv,fleet-simulator.csv,hibernate.csv,geogebra.csv,duplicati.csv,xamj.csv
botsnscouts.csv,0.56,0.53,0.71,0.87,0.8,0.7,0.94,0.73,0.53,0.65,0.8,1.0,0.7,0.32,0.96,0.68,0.69,0.5,0.68
fbmanager.csv,0.0,0.09,0.68,0.04,0.07,0.3,0.0,0.0,0.26,0.0,0.2,0.0,0.0,0.27,0.09,0.0,0.0,0.4,0.0
fido.csv,0.0,0.09,0.0,0.06,0.14,0.0,0.35,0.0,0.02,0.0,0.2,1.0,0.0,0.0,0.15,0.2,0.01,0.07,0.53
fityk.csv,0.56,0.75,0.71,0.7,0.58,0.56,0.74,0.81,0.47,0.56,1.0,0.5,0.74,0.73,0.07,0.47,0.57,0.91,0.58
fleet-simulator.csv,0.79,0.88,0.82,0.94,0.72,1.0,0.88,0.92,1.0,1.0,0.8,1.0,0.84,0.84,0.98,0.78,0.97,0.93,0.9
freenet.csv,0.51,0.84,0.62,0.76,0.5,0.96,0.9,0.88,0.53,1.0,1.0,1.0,0.71,0.68,0.56,0.61,0.82,0.84,0.9
geogebra.csv,0.41,0.38,0.59,0.68,0.32,0.44,0.35,0.52,0.36,0.79,0.4,0.25,0.49,0.34,0.33,0.37,0.64,0.41,0.59
google-caja.csv,0.72,0.97,0.76,0.87,0.99,0.96,0.86,1.0,0.71,0.65,1.0,1.0,0.83,0.84,0.87,0.95,0.95,0.97,1.0
hibernate.csv,0.47,0.5,0.47,0.49,0.66,0.44,0.6,0.88,0.5,0.21,1.0,0.75,0.59,0.52,0.37,0.54,0.59,0.64,0.83
itext.csv,0.62,0.97,0.85,0.81,0.91,0.78,1.0,0.98,0.59,0.79,1.0,1.0,0.83,0.73,0.63,0.76,0.85,0.81,0.87
k3b.csv,0.62,0.81,0.94,0.87,0.82,0.78,0.91,0.88,0.64,0.79,1.0,0.75,0.86,0.75,0.76,0.76,0.89,0.86,0.95
megameknet.csv,0.54,0.88,0.76,0.67,0.28,0.74,0.88,0.75,0.59,0.88,0.6,0.25,0.64,0.8,0.44,0.46,0.83,0.83,0.58
myfaces.csv,0.6,0.47,0.44,0.51,0.53,0.41,0.28,0.69,0.41,0.32,1.0,0.5,0.52,0.59,0.7,0.55,0.57,0.48,0.69
onotoa.csv,0.51,0.34,0.29,0.34,0.68,0.22,0.21,0.44,0.48,0.21,0.0,0.5,0.26,0.57,0.31,0.33,0.11,0.45,0.33
paintown.csv,0.72,0.66,0.88,0.72,0.72,0.85,0.86,0.9,0.53,0.53,1.0,1.0,1.0,0.75,0.93,0.84,0.92,0.53,0.98
powerfolder.csv,0.44,0.16,0.59,0.29,0.51,0.26,0.13,0.54,0.53,0.15,1.0,0.5,0.59,0.43,0.37,0.43,0.38,0.14,0.28
triplea.csv,0.57,0.66,0.56,0.79,0.57,0.3,0.76,0.79,0.69,0.56,0.8,0.25,0.46,0.55,0.93,0.45,0.56,0.64,0.58
xamj.csv,0.56,0.28,0.74,0.88,0.66,0.78,0.88,0.73,0.67,0.82,1.0,0.75,0.91,0.55,0.43,0.48,0.52,0.33,0.67
