,paintown.csv,triplea.csv,fbmanager.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,itext.csv,powerfolder.csv,fido.csv,megameknet.csv,fityk.csv,fleet-simulator.csv,hibernate.csv,geogebra.csv,duplicati.csv,xamj.csv
botsnscouts.csv,0.26,0.33,0.29,0.79,0.88,0.22,0.93,0.2,0.38,0.33,0.64,0.78,0.22,0.27,0.0,0.47,0.27,0.0,0.38
fbmanager.csv,0.0,0.0,0.23,0.02,0.0,0.11,0.0,0.0,0.08,0.0,0.15,0.03,0.0,0.05,0.0,0.0,0.0,0.0,0.0
fido.csv,0.03,0.0,0.03,0.05,0.19,0.04,0.3,0.0,0.04,0.0,0.26,0.13,0.0,0.0,0.0,0.14,0.03,0.0,0.53
fityk.csv,0.33,0.71,0.39,0.42,0.56,0.19,0.48,0.57,0.21,0.2,0.49,0.52,0.39,0.36,0.0,0.3,0.35,1.0,0.3
fleet-simulator.csv,0.77,0.9,0.77,0.86,0.81,1.0,0.78,0.63,1.0,0.83,0.84,0.89,0.61,0.86,0.0,0.7,0.76,1.0,0.66
freenet.csv,0.6,0.76,0.74,0.33,0.44,0.96,0.81,0.9,0.75,1.0,0.97,0.63,0.4,0.77,0.75,0.47,0.5,1.0,0.81
geogebra.csv,0.11,0.19,0.32,0.55,0.19,0.22,0.04,0.09,0.08,0.43,0.3,0.26,0.12,0.14,0.0,0.24,0.24,0.0,0.24
google-caja.csv,0.32,0.9,0.42,0.84,1.0,0.85,0.26,0.98,0.33,0.2,0.96,0.99,0.62,0.68,0.0,0.84,0.85,1.0,0.98
hibernate.csv,0.15,0.33,0.1,0.19,0.56,0.22,0.19,0.89,0.33,0.03,0.74,0.44,0.24,0.36,0.0,0.31,0.3,1.0,0.66
itext.csv,0.22,0.86,0.42,0.7,1.0,0.26,1.0,0.84,0.38,0.2,0.88,0.69,0.55,0.55,0.12,0.5,0.56,0.0,0.64
k3b.csv,0.23,0.67,0.77,0.74,0.88,0.41,0.74,0.83,0.25,0.3,0.63,0.85,0.61,0.59,0.62,0.64,0.84,0.0,0.91
megameknet.csv,0.56,0.67,0.71,0.38,0.12,0.56,0.93,0.67,0.67,0.7,0.63,0.34,0.23,0.59,0.62,0.29,0.67,0.0,0.23
myfaces.csv,0.3,0.19,0.1,0.25,0.38,0.26,0.04,0.21,0.25,0.03,0.72,0.35,0.08,0.36,0.0,0.33,0.17,0.0,0.47
onotoa.csv,0.85,0.24,0.52,0.34,0.5,0.41,0.37,0.84,0.75,0.57,0.77,0.54,0.27,0.77,0.0,0.43,0.22,1.0,0.63
paintown.csv,0.21,0.57,0.68,0.64,0.75,1.0,1.0,0.93,0.38,0.33,0.86,0.87,0.97,0.55,1.0,0.87,0.94,1.0,0.97
powerfolder.csv,0.18,0.1,0.39,0.18,0.44,0.07,0.0,0.37,0.25,0.07,0.09,0.47,0.62,0.36,0.12,0.25,0.28,0.0,0.11
triplea.csv,0.29,0.14,0.32,0.74,0.56,0.22,0.52,0.69,0.5,0.2,0.4,0.42,0.25,0.27,0.0,0.36,0.3,0.0,0.41
xamj.csv,0.33,0.24,0.48,0.86,0.69,0.63,0.78,0.26,0.38,0.67,0.33,0.46,0.76,0.36,0.0,0.35,0.24,0.0,0.22
