,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,ffigo.csv,gstreamer.csv,metacosm.csv
aufs.csv,0.31,0.11,0.03,0.67,0.25,0.55,0.5,0.0,0.56,0.66,0.0,0.74,0.75,0.46
bdbbasic.csv,0.39,0.07,0.02,0.61,0.21,0.42,0.5,1.0,0.64,0.73,0.75,0.74,0.9,0.47
echongl.csv,0.44,0.26,0.04,0.61,0.29,0.41,0.58,0.97,0.44,0.91,0.56,0.79,0.73,0.47
etherboot.csv,0.5,0.48,0.0,1.0,0.34,0.67,0.0,0.91,0.53,0.0,0.39,0.0,0.0,0.48
ffigo.csv,0.39,0.3,0.05,0.71,0.37,0.32,0.75,1.0,0.45,0.87,0.5,0.75,0.83,0.0
freebios.csv,0.24,0.12,0.02,0.51,0.26,0.24,0.75,0.58,0.23,0.87,0.34,0.61,0.4,0.7
gebr.csv,0.32,0.14,0.04,0.56,0.27,0.34,0.47,0.94,0.29,0.71,0.32,0.65,0.6,0.47
gnukeda.csv,0.33,0.21,0.03,0.78,0.27,0.62,0.35,0.88,0.17,0.44,0.45,0.78,0.9,0.47
gstreamer.csv,0.35,0.12,0.02,0.67,0.25,0.33,0.38,0.88,0.32,0.7,0.28,0.64,0.79,0.47
jnode.csv,0.0,0.15,0.16,0.58,0.0,0.0,0.6,0.61,0.38,0.69,0.15,0.45,0.33,0.67
metacosm.csv,0.45,0.21,0.02,0.65,0.33,0.74,0.27,0.94,0.57,0.55,0.35,0.78,0.88,0.71
openmeetings.csv,0.57,0.47,0.08,0.78,0.3,0.45,0.5,1.0,0.35,0.69,0.37,0.8,0.81,0.62
pgui.csv,0.32,0.14,0.0,0.63,0.28,0.33,0.4,0.8,0.3,0.36,0.48,0.0,0.0,0.47
wxcrp.csv,0.47,0.11,0.04,0.52,0.27,0.32,0.41,0.72,0.29,0.78,0.27,0.61,0.58,0.45
