,lazarus-ccr.csv,migen.csv,mvnforum.csv,plplot.csv,lcfizvtop.csv,buddata-ebxml-registry.csv
buddata-ebxml-registry.csv,1.0,1.0,1.0,1.0,1.0,0.99
lazarus-ccr.csv,0.96,0.29,0.67,0.52,0.45,0.57
lcfizvtop.csv,0.38,0.21,0.11,0.33,0.91,0.12
migen.csv,0.21,0.85,0.11,0.43,0.18,0.36
mvnforum.csv,0.08,0.18,0.89,0.24,0.0,0.28
plplot.csv,0.92,0.76,0.78,0.95,0.36,0.45
