,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.0,0.52,0.3,0.53,0.0,0.7,0.56,0.23,0.31,0.65
betoffice.csv,0.16,0.46,0.04,0.4,0.67,0.3,0.02,0.09,0.58,0.22
bnetd.csv,0.63,0.67,0.23,0.67,0.43,0.1,0.47,0.03,0.87,0.43
graphmak.csv,0.05,0.0,0.07,0.19,0.17,0.0,0.13,0.06,0.18,0.09
hazelcast.csv,0.74,0.93,0.64,0.93,0.85,0.0,0.91,0.69,0.84,0.71
megasquirtavr.csv,1.0,0.91,0.0,1.0,1.0,0.7,0.78,1.0,1.0,0.87
pdfedit.csv,0.21,0.46,0.23,0.0,0.39,0.4,0.13,0.29,0.09,0.43
stajistics.csv,0.37,0.3,0.45,0.3,0.39,0.2,0.18,0.06,0.33,0.0
twostep.csv,0.26,0.37,0.14,0.19,0.61,0.4,0.33,0.4,0.0,0.28
xharbour.csv,0.05,0.89,0.81,1.0,0.72,1.0,0.98,0.94,0.89,0.97
