,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.02,0.45,0.62,0.6,1.0,0.42,0.46,0.25,0.63,0.58
betoffice.csv,0.42,0.35,0.06,0.26,0.45,0.29,0.92,0.38,0.33,0.37
bnetd.csv,0.7,0.68,0.44,0.59,0.65,0.5,0.44,0.99,0.42,0.62
graphmak.csv,0.1,0.93,0.35,0.22,0.54,0.18,0.11,0.21,0.5,0.2
hazelcast.csv,0.61,0.27,0.67,0.27,0.45,1.0,0.32,0.6,0.49,0.62
megasquirtavr.csv,0.0,0.33,0.92,0.0,0.0,0.65,0.49,0.0,0.0,0.41
pdfedit.csv,0.44,0.31,0.39,1.0,0.39,0.57,0.31,0.42,0.36,0.45
stajistics.csv,0.18,0.62,0.63,0.3,0.56,0.49,0.26,0.21,0.6,1.0
twostep.csv,0.38,0.35,0.12,0.32,0.57,0.49,0.42,0.36,1.0,0.44
xharbour.csv,0.99,0.38,0.52,0.0,0.61,0.0,0.09,0.23,0.35,0.13
