,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.02,0.44,0.6,0.65,1.0,0.47,0.47,0.21,0.62,0.7
betoffice.csv,0.37,0.32,0.05,0.23,0.5,0.25,0.91,0.33,0.31,0.33
bnetd.csv,0.9,0.92,0.4,0.74,0.68,0.45,0.42,1.0,0.96,0.63
graphmak.csv,0.08,0.92,0.3,0.19,0.5,0.15,0.09,0.18,0.46,0.17
hazelcast.csv,0.92,1.0,0.85,1.0,0.91,1.0,0.87,0.79,1.0,0.87
megasquirtavr.csv,1.0,0.96,0.9,1.0,1.0,0.93,0.71,1.0,0.96,0.9
pdfedit.csv,0.4,0.28,0.35,1.0,0.36,0.56,0.27,0.38,0.31,0.43
stajistics.csv,0.15,0.6,0.65,0.26,0.55,0.45,0.22,0.18,0.58,1.0
twostep.csv,0.34,0.32,0.1,0.28,0.64,0.47,0.38,0.33,1.0,0.4
xharbour.csv,1.0,0.96,0.9,1.0,0.86,0.85,1.0,0.82,0.77,0.93
