,xstore.csv,pcsx2.csv,dataobjectsdotnet.csv,img-browse-sort.csv
dataobjectsdotnet.csv,0.78,0.84,0.02,0.64
img-browse-sort.csv,0.57,0.64,0.7,0.0
pcsx2.csv,0.64,0.02,0.69,0.48
xstore.csv,0.02,0.63,0.69,0.61
