,xstore.csv,pcsx2.csv,dataobjectsdotnet.csv,img-browse-sort.csv
dataobjectsdotnet.csv,0.83,0.83,0.99,0.42
img-browse-sort.csv,0.62,0.7,0.48,1.0
pcsx2.csv,0.62,0.99,0.48,0.39
xstore.csv,1.0,0.71,0.45,0.32
