,avifile.csv,werx.csv,plog4u.csv,jgameai.csv,esmf.csv,mule.csv,jsecurity.csv,delphilhlplib.csv,piccolo2d.csv,libopenmetaverse.csv,gbif-indexingtoolkit.csv,mptvseries.csv,vars-redux.csv
avifile.csv,0.0,0.88,1.07,0.65,1.0,0.99,0.98,1.0,1.01,0.97,0.92,1.0,0.91
delphilhlplib.csv,0.69,1.01,0.72,0.76,0.5,0.85,0.8,0.0,0.87,0.79,0.82,0.76,0.86
esmf.csv,1.01,0.64,1.16,0.69,0.15,0.67,0.88,0.97,0.74,0.83,0.9,0.9,0.88
gbif-indexingtoolkit.csv,1.01,0.96,1.01,0.82,0.88,0.71,0.82,0.93,0.86,0.87,0.0,0.85,0.69
jgameai.csv,0.45,1.12,1.1,0.12,0.88,0.8,0.85,0.41,0.87,0.84,0.83,0.66,0.77
jsecurity.csv,0.87,0.91,1.17,0.66,0.73,0.67,0.03,1.0,0.61,0.69,0.79,0.91,0.79
libopenmetaverse.csv,0.88,0.77,0.84,0.72,0.81,0.92,0.9,0.68,0.81,0.03,0.71,0.72,0.85
mptvseries.csv,0.86,0.98,0.22,0.86,0.66,0.61,0.66,0.71,0.49,0.69,0.62,0.05,0.39
mule.csv,1.1,0.91,0.18,0.91,0.7,0.04,0.68,0.77,0.59,0.73,0.85,0.81,0.65
piccolo2d.csv,1.0,1.01,1.0,0.96,1.0,0.88,0.75,0.78,0.08,0.92,1.0,1.0,0.88
vars-redux.csv,1.0,0.97,1.0,0.86,0.94,0.67,0.65,0.61,0.43,0.69,0.84,0.9,0.04
werx.csv,1.0,0.0,0.99,1.0,1.0,1.0,0.96,1.0,0.99,1.0,0.98,1.0,0.96
