,avifile.csv,werx.csv,plog4u.csv,jgameai.csv,esmf.csv,mule.csv,jsecurity.csv,delphilhlplib.csv,piccolo2d.csv,libopenmetaverse.csv,gbif-indexingtoolkit.csv,mptvseries.csv,vars-redux.csv
avifile.csv,0.0,0.0,0.38,0.37,0.0,0.0,0.34,0.0,0.11,0.0,0.16,0.1,0.24
delphilhlplib.csv,0.66,1.0,0.72,0.6,0.48,0.8,0.72,0.0,0.84,0.66,0.74,0.74,0.85
esmf.csv,0.11,0.25,0.58,0.67,0.01,0.57,0.66,0.94,0.72,0.83,0.9,0.9,0.88
gbif-indexingtoolkit.csv,0.14,0.0,0.14,0.14,0.09,0.2,0.08,0.06,0.16,0.14,0.0,0.1,0.13
jgameai.csv,0.2,1.0,0.47,0.0,0.39,0.48,0.62,0.28,0.21,0.09,0.62,0.65,0.52
jsecurity.csv,0.35,0.0,0.6,0.51,0.23,0.19,0.01,1.0,0.29,0.37,0.46,0.45,0.3
libopenmetaverse.csv,0.88,0.75,0.84,0.65,0.72,0.84,0.87,0.61,0.79,0.0,0.7,0.71,0.81
mptvseries.csv,0.32,0.5,0.22,0.3,0.17,0.33,0.14,0.11,0.43,0.26,0.3,0.0,0.21
mule.csv,0.45,0.25,0.18,0.22,0.06,0.01,0.15,0.22,0.24,0.23,0.22,0.19,0.22
piccolo2d.csv,0.0,0.25,0.06,0.02,0.0,0.04,0.08,0.61,0.0,0.0,0.02,0.0,0.01
vars-redux.csv,0.09,0.5,0.06,0.17,0.04,0.44,0.2,0.22,0.2,0.17,0.2,0.03,0.0
werx.csv,1.0,0.0,0.99,1.0,1.0,1.0,0.96,1.0,0.99,1.0,0.98,1.0,0.96
