,jmoney.csv,sqlpower-library.csv,neodatis-odb.csv,cuberok.csv,gabel.csv,mycila.csv,tmva.csv,unicase.csv,servicestack.csv,synecdoche.csv,javaprofiler.csv
cuberok.csv,0.5,0.36,0.51,0.61,0.42,0.59,0.76,0.48,0.41,0.94,0.7
gabel.csv,0.0,0.92,0.67,0.0,0.88,0.71,0.0,0.99,0.67,0.0,0.0
javaprofiler.csv,0.39,0.41,0.41,0.41,0.5,0.52,0.71,0.52,0.59,0.38,0.47
jmoney.csv,0.53,0.37,0.88,0.92,0.48,0.75,0.96,0.44,0.9,0.75,0.89
mycila.csv,0.86,0.91,0.93,0.67,0.86,0.9,0.96,0.99,0.86,0.86,0.95
neodatis-odb.csv,0.51,0.55,0.78,0.66,0.55,0.83,0.72,0.62,0.47,0.73,0.49
servicestack.csv,0.83,0.61,0.57,0.8,0.79,0.67,0.67,0.76,0.75,0.86,0.93
sqlpower-library.csv,0.38,0.43,0.5,0.42,0.6,0.52,0.98,0.6,0.73,0.46,0.52
synecdoche.csv,0.88,0.71,0.69,0.58,0.95,0.88,0.96,0.83,0.9,0.62,0.72
tmva.csv,0.41,0.45,0.43,0.56,0.52,0.47,0.52,0.45,0.59,0.57,0.53
unicase.csv,0.39,0.39,0.51,0.39,0.49,0.59,0.48,0.44,0.91,0.39,0.54
