,jmoney.csv,sqlpower-library.csv,neodatis-odb.csv,cuberok.csv,gabel.csv,mycila.csv,tmva.csv,unicase.csv,servicestack.csv,synecdoche.csv,javaprofiler.csv
cuberok.csv,5.0,0.0,1.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,1.0
gabel.csv,0.0,0.0,106.0,56.0,0.0,1.0,0.0,1.0,0.0,0.0,110.0
javaprofiler.csv,6.0,0.0,0.0,1.0,41.0,7.0,0.0,1.0,17.0,3.0,0.0
jmoney.csv,0.0,1.0,0.0,5.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
mycila.csv,5.0,0.0,0.0,2.0,14.0,0.0,1.0,1.0,3.0,1.0,0.0
neodatis-odb.csv,13.0,0.0,0.0,3.0,20.0,1.0,0.0,0.0,0.0,2.0,0.0
servicestack.csv,1.0,0.0,2.0,1.0,9.0,8.0,0.0,0.0,0.0,0.0,1.0
sqlpower-library.csv,14.0,0.0,0.0,7.0,7.0,12.0,0.0,0.0,0.0,1.0,0.0
synecdoche.csv,1.0,0.0,1.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
tmva.csv,9.0,0.0,0.0,3.0,17.0,6.0,0.0,0.0,0.0,1.0,0.0
unicase.csv,11.0,0.0,0.0,1.0,43.0,2.0,0.0,0.0,4.0,0.0,0.0
