,jmoney.csv,sqlpower-library.csv,neodatis-odb.csv,cuberok.csv,gabel.csv,mycila.csv,tmva.csv,unicase.csv,servicestack.csv,synecdoche.csv,javaprofiler.csv
cuberok.csv,0.55,0.72,0.38,1.0,0.62,0.6,0.4,0.59,0.71,0.28,0.23
gabel.csv,0.05,0.24,0.0,0.0,1.0,0.4,0.01,0.1,0.18,0.03,0.0
javaprofiler.csv,0.8,0.72,0.73,0.68,0.5,0.5,0.45,0.51,0.59,0.76,1.0
jmoney.csv,0.9,0.57,0.22,0.32,0.75,0.2,0.16,0.56,0.18,0.14,0.08
mycila.csv,0.1,0.22,0.11,0.41,0.25,1.0,0.13,0.19,0.06,0.21,0.11
neodatis-odb.csv,0.6,0.54,0.97,0.5,0.5,0.2,0.52,0.31,0.88,0.48,0.59
servicestack.csv,0.2,0.57,0.3,0.18,0.38,0.1,0.34,0.27,0.71,0.17,0.08
sqlpower-library.csv,0.9,1.0,0.62,0.86,0.62,0.4,0.33,0.37,0.53,0.72,0.67
synecdoche.csv,0.2,0.28,0.24,0.55,0.12,0.3,0.29,0.24,0.06,1.0,0.36
tmva.csv,0.7,0.72,0.81,0.73,1.0,0.8,0.97,0.78,0.47,0.59,0.49
unicase.csv,0.75,0.74,0.78,0.91,0.88,0.5,0.88,0.99,0.24,0.83,0.55
