,jmoney.csv,sqlpower-library.csv,neodatis-odb.csv,cuberok.csv,gabel.csv,mycila.csv,tmva.csv,unicase.csv,servicestack.csv,synecdoche.csv,javaprofiler.csv
cuberok.csv,0.32,0.53,0.36,0.03,0.36,0.38,0.08,0.33,0.43,0.19,0.36
gabel.csv,0.0,0.06,0.04,0.0,0.0,0.24,0.0,0.17,0.0,0.0,0.0
javaprofiler.csv,0.54,0.76,0.69,0.69,0.61,0.38,0.73,0.51,0.52,0.98,0.03
jmoney.csv,0.02,0.24,0.11,0.17,0.27,0.14,0.02,0.55,0.15,0.0,0.08
mycila.csv,0.12,0.06,0.14,0.43,0.22,0.0,0.12,0.17,0.13,0.02,0.33
neodatis-odb.csv,0.56,0.35,0.0,0.6,0.41,0.1,0.48,0.18,0.61,0.44,0.72
servicestack.csv,0.05,0.71,0.24,0.03,0.17,0.26,0.12,0.14,0.0,0.05,0.22
sqlpower-library.csv,0.73,0.06,0.56,0.69,0.46,0.6,0.05,0.38,0.28,0.63,0.47
synecdoche.csv,0.1,0.47,0.33,0.69,0.22,0.12,0.1,0.36,0.2,0.0,0.33
tmva.csv,0.56,0.65,0.81,0.57,0.75,0.57,0.03,0.78,0.63,0.3,0.86
unicase.csv,0.63,0.71,0.56,0.83,0.79,0.4,0.73,0.01,0.15,0.81,0.86
