,jmoney.csv,sqlpower-library.csv,neodatis-odb.csv,cuberok.csv,gabel.csv,mycila.csv,tmva.csv,unicase.csv,servicestack.csv,synecdoche.csv,javaprofiler.csv
cuberok.csv,0.5,0.75,0.37,0.98,0.22,0.37,0.56,0.69,0.49,0.36,0.32
gabel.csv,0.1,0.38,0.0,0.0,1.0,0.33,0.01,0.17,0.3,0.07,0.0
javaprofiler.csv,0.55,0.72,0.48,0.49,0.12,0.32,0.53,0.6,0.39,0.47,0.99
jmoney.csv,0.92,0.68,0.3,0.4,0.31,0.22,0.27,0.63,0.22,0.24,0.14
mycila.csv,0.15,0.35,0.16,0.39,0.13,1.0,0.22,0.3,0.08,0.33,0.17
neodatis-odb.csv,0.44,0.65,0.99,0.41,0.16,0.25,0.62,0.45,0.5,0.45,0.61
servicestack.csv,0.31,0.62,0.34,0.3,0.22,0.09,0.5,0.41,0.83,0.28,0.13
sqlpower-library.csv,0.53,0.99,0.46,0.58,0.18,0.21,0.48,0.49,0.46,0.55,0.7
synecdoche.csv,0.29,0.39,0.26,0.41,0.07,0.33,0.44,0.35,0.07,1.0,0.47
tmva.csv,0.49,0.73,0.48,0.55,0.19,0.38,0.98,0.75,0.3,0.58,0.52
unicase.csv,0.49,0.74,0.55,0.56,0.16,0.31,0.82,0.99,0.29,0.55,0.56
