,jmoney.csv,sqlpower-library.csv,neodatis-odb.csv,cuberok.csv,gabel.csv,mycila.csv,tmva.csv,unicase.csv,servicestack.csv,synecdoche.csv,javaprofiler.csv
cuberok.csv,0.46,0.79,0.36,0.96,0.13,0.27,0.93,0.82,0.38,0.5,0.57
gabel.csv,1.0,0.92,0.0,0.0,1.0,0.29,1.0,0.61,1.0,1.0,0.0
javaprofiler.csv,0.42,0.72,0.36,0.38,0.07,0.24,0.63,0.72,0.29,0.34,0.99
jmoney.csv,0.95,0.87,0.5,0.54,0.19,0.25,0.96,0.73,0.3,1.0,0.67
mycila.csv,0.29,0.91,0.29,0.38,0.09,1.0,0.75,0.74,0.14,0.86,0.4
neodatis-odb.csv,0.34,0.81,1.0,0.34,0.1,0.33,0.75,0.82,0.35,0.42,0.63
servicestack.csv,0.67,0.68,0.39,0.8,0.16,0.08,0.89,0.83,1.0,0.71,0.43
sqlpower-library.csv,0.38,0.98,0.37,0.44,0.11,0.14,0.95,0.72,0.41,0.44,0.75
synecdoche.csv,0.5,0.62,0.28,0.33,0.05,0.38,0.89,0.64,0.1,1.0,0.69
tmva.csv,0.38,0.75,0.34,0.44,0.1,0.25,0.99,0.72,0.22,0.57,0.54
unicase.csv,0.37,0.74,0.43,0.41,0.09,0.23,0.77,1.0,0.36,0.41,0.57
