,jmoney.csv,sqlpower-library.csv,neodatis-odb.csv,cuberok.csv,gabel.csv,mycila.csv,tmva.csv,unicase.csv,servicestack.csv,synecdoche.csv,javaprofiler.csv
cuberok.csv,0.55,0.6,0.72,0.03,0.52,0.55,0.6,0.53,0.52,0.75,0.85
gabel.csv,0.95,0.76,1.0,1.0,0.0,0.65,0.99,0.92,0.82,0.97,1.0
javaprofiler.csv,0.57,0.82,0.74,0.76,0.79,0.63,0.92,0.71,0.66,1.01,0.03
jmoney.csv,0.1,0.49,0.79,0.7,0.37,0.81,0.84,0.71,0.84,0.86,0.92
mycila.csv,0.91,0.78,0.9,0.73,0.78,0.0,0.88,0.83,0.95,0.79,0.95
neodatis-odb.csv,0.69,0.58,0.03,0.78,0.65,0.81,0.68,0.71,0.62,0.68,0.83
servicestack.csv,0.8,0.83,0.74,0.82,0.65,0.94,0.67,0.74,0.29,0.83,0.95
sqlpower-library.csv,0.74,0.06,0.67,0.7,0.59,0.85,0.68,0.74,0.55,0.69,0.58
synecdoche.csv,0.81,0.86,0.83,0.82,0.9,0.71,0.72,0.84,0.96,0.0,0.72
tmva.csv,0.64,0.71,0.84,0.63,0.75,0.61,0.04,0.81,0.82,0.51,1.0
unicase.csv,0.68,0.75,0.6,0.83,0.8,0.64,0.74,0.01,0.78,0.83,0.97
