,xmemcached.csv,httpcontentparser.csv,bdbbasic.csv,qse.csv,google-gears.csv
bdbbasic.csv,5.0,0.0,1.0,0.0,0.0
google-gears.csv,17.0,5.0,9.0,7.0,2.0
httpcontentparser.csv,13.0,3.0,67.0,0.0,0.0
qse.csv,4.0,10.0,67.0,1.0,0.0
xmemcached.csv,2.0,6.0,9.0,7.0,0.0
