,lazarus-ccr.csv,migen.csv,mvnforum.csv,plplot.csv,lcfizvtop.csv,chaosrts.csv
chaosrts.csv,0.96,0.88,0.83,0.9,1.0,0.99
lazarus-ccr.csv,1.0,0.5,0.67,0.29,0.36,0.78
lcfizvtop.csv,0.88,0.32,0.17,0.14,0.91,0.58
migen.csv,0.33,0.94,0.11,0.33,0.18,0.43
mvnforum.csv,0.04,0.21,0.94,0.14,0.09,0.09
plplot.csv,1.0,0.59,0.67,0.9,0.55,0.55
