,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,quark.csv,pnotepad.csv
bacnet.csv,0.57,0.14,0.71,0.52,0.61,0.51,0.64,0.51,0.62,0.47,0.09,0.39
gamestone.csv,0.15,0.94,0.14,0.5,0.25,0.05,0.0,0.31,0.16,0.18,0.1,0.12
gbif-providertoolkit.csv,0.4,0.13,0.38,0.5,0.72,0.58,0.48,0.67,0.75,0.54,0.48,0.31
heekscad.csv,0.74,0.42,0.61,0.49,0.69,0.57,0.6,0.57,0.65,0.49,0.75,0.65
igarden.csv,0.73,0.54,0.68,0.66,0.59,0.63,0.46,0.56,0.58,0.39,0.65,0.52
levent.csv,0.64,0.15,0.0,0.0,0.64,0.65,0.57,0.0,0.0,0.0,0.0,0.0
lportal.csv,0.27,0.0,0.29,0.0,0.09,0.12,0.0,0.44,0.71,0.02,0.0,0.1
openmsx.csv,0.24,0.54,0.39,0.3,0.68,0.5,0.15,0.48,0.0,0.62,0.5,0.27
owlapi.csv,0.38,0.0,0.56,0.22,0.57,0.63,0.27,0.75,0.59,0.45,0.73,0.71
pnotepad.csv,0.67,0.76,0.61,0.13,0.32,0.65,0.62,0.41,0.05,0.44,0.0,0.92
quark.csv,0.61,0.29,0.56,0.07,0.41,0.12,0.16,0.63,0.51,0.24,0.84,0.38
xcsoar.csv,0.69,0.43,0.71,0.64,0.67,0.62,0.6,0.6,0.67,0.49,0.0,0.32
